Igehely	Strong-szám	Ragozott alak	Kiejtés	Szótő	Rövid jelentés	Angol tükörfordítás	Kritikai kiadás
Mt 1:6	G1138	Δαυὶδ	Dauid	Δαυείδ, Δαυίδ, Δαβίδ	David	David	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:6	G1161	δὲ	de	δέ	but/and	then	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:6	G3588	ὁ	ho	ὁ	the/this/who	the	TR+Byz
Mt 1:6	G0935	βασιλεὺς	basileus	βασιλεύς	king	king	TR+Byz
Mt 1:6	G1080	ἐγέννησεν	egennēsen	γεννάω	to beget	begat	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:6	G3588	τὸν	ton	ὁ	the/this/who	<the>	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:6	G4672	Σολομῶνα	Solomōna	Σολομών, Σαλωμών	Solomon	Solomon	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:6	G1537	ἐκ	ek	ἐκ	out from	out of	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:6	G3588	τῆς	tēs	ὁ	the/this/who	the [wife]	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:6	G3588	τοῦ	tou	ὁ	the/this/who	<the>	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:6	G3774	Οὐρίου·	Ouriou	Οὐρίας	Uriah	of Uriah;	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:7	G4672	Σολομὼν	Solomōn	Σολομών, Σαλωμών	Solomon	Solomon	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:7	G1161	δὲ	de	δέ	but/and	then	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:7	G1080	ἐγέννησεν	egennēsen	γεννάω	to beget	begat	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:7	G3588	τὸν	ton	ὁ	the/this/who	<the>	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:7	G4497	Ῥοβοάμ·	Rhoboam	Ῥοβοάμ	Rehoboam	Rehoboam;	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:7	G4497	Ῥοβοὰμ	Rhoboam	Ῥοβοάμ	Rehoboam	Rehoboam	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:7	G1161	δὲ	de	δέ	but/and	then	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:7	G1080	ἐγέννησεν	egennēsen	γεννάω	to beget	begat	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:7	G3588	τὸν	ton	ὁ	the/this/who	<the>	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:7	G0007	Ἀβιά·	Abia	Ἀβιά	Abijah	Abijah;	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:7	G0007	Ἀβιὰ	Abia	Ἀβιά	Abijah	Abijah	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:7	G1161	δὲ	de	δέ	but/and	then	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
