Strong-szám	Szótő	Kiejtés	Rövid jelentés
H8264	שָׁקַק	sho.ke.Kah	to rush
H8265	שָׂקַר	me.sa.ke.Rot	to ogle
H8266	שָׁקַר	tish.Kor	to deal
H8267	שֶׁ֫קֶר	Sha.ker	deception
H8268	שֹׁ֫קֶת	Sho.ket	trough
H8269	שַׂר	sa.Rei	ruler
H8270	שֹׁר	sha.Re.	umbilical cord
H8271	שְׁרָא	sha.Riv	to loose
H8272	שַׁרְאֶ֫צֶר	sar.'E.tzer	Sharezer
H8273	שָׁרָב	sha.Rav	scorching
H8274	שֵׁרֵֽבְיָה	she.re.ve.Yah	Sherebiah
H8275	שַׁרְבִֿיט	shar.Vit	scepter
H8276	שָׂרַג	ye.so.Ra.gu	to intertwine
H8277	שָׂרַד	sa.re.Du	to escape
H8278	שְׂרָד	se.Rad	braiding
H8279	שֶׂ֫רֶד	Se.red	stylus
H8281	שָׁרָה	yish.Re.	to free
H8282	שָׂרָה	sa.ro.Tei.	princess
H8283	שָׂרָה	sa.Rah	Sarah
H8284	שָׁרָה	sha.ro.Tei.	vine-row
H8285	שֵׁרָה	shei.Rot	bracelet
H8286	שְׂרוּג	se.Rug	Serug
H8287	שָׁרוּחֶ֑ן	sha.ru.Chen	Sharuhen
H8288	שְׂרוֹךְ	se.rokh-	thong
H8289	שָׁרוֹן	sha.Ron	Lasharon
H8290	שָׁרוֹנִי	sha.ro.Ni	Sharon
H8291	שָׂרֹק	se.ru.Kei.	tendril
H8292	שְׁרִיקָה	she.ri.Kot	piping
H8294	שֶׂ֫רַח, שָׂ֫רַח	Se.rach	Serah
H8295	שָׂרַט	yis.re.Tu	to incise
H8296	שֶׂ֫רֶט	Se.ret	incision
H8297	שָׂרַי	sa.Rai	Sarah
H8298	שָׁרָ֑י	sha.Rai	Sharai
H8299	שָׂרִיג	sa.ri.Gim	tendril
H8300	שָׂרִיד	sa.Rid	survivor
H8301	שָׂרִיד	sa.Rid	Sarid
H8302	שִׁרְיוֹן	shir.Yon	armor
H8303	שִׂרְיֹן	sir.Yon	Hermon_Mount
H8304	שְׂרָיָהוּ	se.ra.Yah	Seraiah
H8305	שָׂרִיק	se.ri.Kot	combed
H8306	שָׁרִיר	sh.ri.Rei	muscle
H8307	שְׁרִירוּת	she.ri.Rut	stubbornness
H8308	שָׂרַךְ	me.sa.Re.khet	to twist
H8310	שַׂרְסְכִים	sar-	Nebu-sar-sekim
H8311	שָׂרַע	sa.Ru.a'	to extend
H8312	שַׂרְעַפִּים	sar.'a.Pa	anxiety
H8313	שָׂרַף	nis.re.Fah	to burn
H8314	שָׂרָף	se.ra.Fim	serpent
H8315	שָׂרָף	sa.Raf	Saraph
H8316	שְׂרֵפָה	s.re.Fah	fire
H8317	שָׁרַץ	yish.re.Tzu	to swarm
H8318	שֶׁ֫רֶץ	She.retz	swarm
H8319	שָׁרַק	sha.Rak	to whistle
H8320	שָׂרֹק	se.ru.Kim	sorrel
H8321	שֹׂרֵקָה	so.re.Kah	vine
H8322	שְׁרֵקָה	sh.re.Kah	hissing
H8323	שָׂרַר	tis.ta.Rer	to rule
H8324	שׁוֹרֵר	sho.Ra	enemy
H8325	שָׁרָר	sha.Rar	Sharar
H8327	שָׁרַשׁ	mash.Rish	to uproot
H8328	שֹׁ֫רֶשׁ	sha.re.Sha	root
H8329	שָׁ֑רֶשׁ	Sha.resh	Sheresh
H8331	שַׁרְשָׁה	shar.Shot	chain
H8332	שְׁרֹשִׁי	sh.ro.shu	banishment
H8333	שַׁרְשְׁרָה	shar.she.Rot	chain
H8334	שָׁרַת	y.Sha.ret	to minister
H8335	שָׁרֵת	sha.Ret	ministry
H8336	שֵׁשׁ	Shesh	linen
H8337	שֵׁשׁ	shesh	six
H8338	שִׁשֵּׁא	shi.she.Ti.	to lead
H8339	שֵׁשְׁבַּצַּר	she.she.ba.Tzar	Zerubbabel
H8340	שֵׁשְׁבַּצַּר	she.she.ba.Tzar	Zerubbabel
H8341	שִׁשָּׁה	shi.shi.Tem	to give a sixth
H8342	שָׂשׂוֹן	sa.Son	rejoicing
H8343	שָׁשַׁי	sha.Shai	Shashai
H8344	שֵׁשַׁי	she.Shai	Sheshai
H8345	שִׁשִּׁי	shi.Shi	sixth
H8346	שִׁשִּׁים	shi.Shim	sixty
H8347	שֵׁשַׁךְ	she.Shakh	Babylon
H8348	שֵׁשָׁן	she.Shan	Sheshan
H8349	שָׁשָׁק	sha.Shak	Shashak
H8350	שָׁשֵׁר	sha.Shar	vermilion
H8352	שֵׁת	Shet	Seth
H8353	שֵׁת	Shet	six
H8354	שָׁתָה	i.Ye.shet	to drink
H8355	שְׁתָה	sha.Teh	to drink
H8356	שָׁת	sha.tot	foundation
H8357	שֵׁת	she.to.tei.	buttock
H8358	שְׁתִי	she.Ti	drunkenness
H8359	שְׁתִי	sh.Ti	warp
H8360	שְׁתִיָּה	she.ti.Yah	drinking
H8361	שִׁתִּין	shi.Tin	sixty
H8362	שָׁתַל	sha.Tul	to transplant
H8363	שָׁתִיל	sh.ti.Lei	shoot
H8364	שֻׁתַלְחִי	Shu.tal.Chi	Shuthelah
H8365	שָׁתַם	she.Tum	to open
H8366	שָׁתַן	mash.Tin	to urinate
H8367	שָׁתַק	yish.To.ku	be quiet
H8368	שָׂתַר	i.yi.sa.te.Ru	to burst
H8369	שֵׁתָר	she.Tar	Shethar
H8370	שְׁתַר בּוֹזְנַי	she.Tar	Shethar-bozenai
H8371	שָׁתַת	sha.Tu	to appoint
H8372	תָּא	ta'	chamber
H8373	תָּאַב	ta.'Av.ti	to long for
H8374	תָּאַב	me.ta.'Ev	to loathe
H8375	תַּאֲבָה	ta.'a.Vah	longing
H8376	תָּאָה	te.ta.'U	to mark
H8377	תְּאוֹ	te.'O	antelope
H8378	תַּאֲוָה	ta.'a.vah-	desire
H8379	תַּאֲוָה	ta.'a.Vat	boundary
H8380	תּוֹאָם	to.Mim	twin
H8381	תַּאֲלָה	ta.'a.la.te.	curse
H8382	תָּאַם	mat.'i.Mot	be double
H8383	תְּאֻנִים	te.'u.Nim	toil
H8384	תְּאֵנָה	te.'e.Nah	fig
H8385	תֹּאֲנָה	to.'a.Nah	opportunity
H8386	תַּאֲנִיָּה	ta.'a.ni.Yah	mourning
H8387	תַּאֲנַת שִׁלֹ֑ה	ta.'a.Nat	Taanath-shiloh
H8388	תָּאַר	ta.'Ar	to border
H8389	תֹּ֫אַר	To.'ar	appearance
H8390	תַּאֲרֵעַ	ta'.Re.a'	Tarea
H8391	תְּאַשּׁוּר	te.'a.Shur	boxtree
H8392	תֵּבָה	te.Vat	ark
H8393	תְּבוּאָה	te.vu.'Ot	produce
H8394	תְּבוּנָה	t.vu.Nah	understanding
H8395	תְּבוּסָה	te.vu.Sat	ruin
H8396	תָּבוֹר	ta.Vor	Tabor_Mount
H8397	תֶּ֫בֶל	Te.vel	perversion
H8398	תֵּבֵל	te.Vel	world
H8399	תַּבְלִית	tav.li.Ta	destruction
H8400	תְּבַלֻּל	te.va.Lul	defect
H8401	תֶּ֫בֶן	Te.ven	straw
H8402	תִּבְנִי	tiv.Ni	Tibni
H8403	תַּבְנִית	tav.Nit	pattern
H8404	תַּבְעֵרָה	tav.'e.Rah	Taberah
H8405	תֵּבֵץ	te.Vetz	Thebez
H8406	תְּבַר	te.vi.Rah	to break
H8407	תִּגְלַת פִּלְאֶ֫סֶר	tig.Lat	Tiglath-pileser
H8408	תַּגְמוּל	tag.mu.Lo.	benefit
H8410	תִּדְהָר	tid.Har	elm
H8412	תַּדְמֹר	ta.mar	Tadmor
H8413	תִּדְעָל	tid.'Al	Tidal
H8414	תֹּ֫הוּ	to.hu	formlessness
H8415	תְּהוֹם	te.Hom	abyss
H8416	תְּהִלָּה	te.hi.Lot	praise
H8417	תׇּהֳלָה	to.ho.Lah	error
H8418	תַּהֲלוּכָה	ta.ha.lu.Khot	procession
H8419	תַּהְפֻּכָה	tah.pu.Khot	perversity
H8420	תָּו	Ta.v	mark
H8421	תּוּב	ye.ti.Vun	to return
H8422	תּוּבַל	tu.Val	Tubal
H8423	תּוּבַל־קַ֫יִן	Tu.val	Tubal-cain
H8424	תּוּגָה	tu.Gah	grief
H8425	תֹּגַרְמָה	to.gar.Mah	Togarmah
H8426	תּוֹדָה	to.Dah	thanksgiving
H8427	תָּוָה	hit.Vi.ta	to mark
H8428	תָּוָה	hit.vu	to wound
H8429	תְּוַהּ	te.Vah	be startled
H8431	תּוֹחֶ֫לֶת	to.Che.let	hope
H8432	תָּ֫וֶךְ	Tokh	midst
H8433	תּוֹכֵחָה	to.khe.Chah	rebuke
H8434	תּוֹלָ֑ד	to.Lad	Tolad
H8435	תּוֹלֵדוֹת	tol.Dot	generation
H8436	תִּילוֹן	to.lon	Tilon
H8437	תּוֹלָל	to.la.Lei.	tormentor
H8438	תּוֹלָע	to.la.'Im	worm
H8439	תּוֹלָע	to.La'	Tola
H8440	תּוֹלָעִי	to.la.'I	Tola
H8441	תּוֹעֵבַה	to.'e.Vah	abomination
H8442	תּוֹעָה	to.'Ah	error
H8443	תּוֹעָפָה	to.'a.Fot	peak
H8444	תּוֹצָאָה	totz.'o.Ta	outgoing
H8446	תּוּר	Tur	to spy
H8447	תּוֹר	tor	plait
H8448	תּוֹר	Tor	border
H8449	תֹּר	Tor	turtledove
H8450	תּוֹר	to.Rin	bullock
H8451	תּוֹרָה	to.ro.Ta	instruction
H8452	תּוֹרָה	to.Rat	custom
H8453	תּוֹשָׁב	to.Shav	sojourner
H8454	תּוּשִׁיָּה	tu.shi.Yah	wisdom
H8456	תָּזַז	he.Taz	to strike away
H8457	תַּזְנוּת	taz.nu.Ta.yi	fornication
H8458	תַּחְבֻּלָה	tach.bu.la.to	counsel
H8459	תֹּחוּ	To.chu	Tohu
H8460	תְּחוֹת	te.Chot	under
H8461	תַּחְכְּמֹנִי	tach.ke.mo.Ni	Hachmonites
H8462	תְּחִלָּה	te.chi.Lah	beginning
H8463	תַּחֲלֻאִים	ta.cha.lu.'Im	disease
H8464	תַּחְמָס	tach.Mas	ostrich
H8465	תַּ֫חַן	Ta.chan	Tahan
H8466	תַּחֲנָה	ta.cha.no.T	encampment
H8467	תְּחִנָּה	te.chi.Nah	supplication
H8468	תְּחִנָּה	te.chi.Nah	Tehinnah
H8469	תַּחֲנוּן	ta.cha.nu.Nei	supplication
H8470	תַּחֲנִי	ta.cha.Ni	Tahan
H8471	תַּחְפַּנְחֵס	tach.pe.nes	Tahpanhes
H8472	תַּחְפְּנֵיס	tach.pe.Neis	Tahpenes
H8473	תַּחְרָא	tach.Ra'	breastplate
H8474	תַּחָרָה	te.ta.cha.Reh	to contend
H8475	תַּחֲרֵעַ	tach.Re.a'	Tarea
H8476	תַּ֫חַשׁ	te.cha.Shim	animal
H8477	תַּ֫חַשׁ	Ta.chash	Tahash
H8478	תַּחַת	Ta.chat	underneath
H8480	תַּ֫חַת	Ta.chat	Tahath
H8481	תַּחְתּוֹן	tach.Ton	Beth-horon_Lower
H8482	תַּחְתִּי	tach.ti.Yim	lower
H8483	תַּחְתִּים חׇדְשִׁי	tach.Tim	Kadesh
H8484	תִּיכוֹן	ti.Khon	middle
H8485	תֵּימָא	tei.Ma'	Tema
H8486	תֵּימָן	tei.Ma.na	south
H8487	תֵּימָן	tei.Man	Teman
H8488	תֵּימְנִי	teim.Ni	Temeni
H8489	תֵּימָנִי	tei.ma.Ni	Teman
H8490	תִּימָרָה	ti.ma.Rot	column
H8491	תִּיצִי	ti.Tzi	Tizites
H8492	תִּירוֹשׁ	ti.Rosh	new wine
H8493	תִּירְיָא	tir.Ya'	Tiria
H8494	תִּירָ֑ס	ti.Ras	Tiras
H8495	תַּ֫יִשׁ	te.ya.Shim	male goat
H8496	תֹּךְ	Tokh	oppression
H8497	תָּכָה	tu.Ku	to follow
H8498	תְּכוּנָה	te.khu.na.T	fitting
H8499	תְּכוּנָה	te.khu.na.T	place
H8500	תֻּכִּיִּים	tu.ki.Yim	peacock
H8502	תִּכְלָה	Tikh.lah	perfection
H8503	תַּכְלִית	takh.Lit	limit
H8504	תְּכֵ֫לֶת	te.Khe.let	blue
H8505	תָּכַן	nit.ke.Nu	to measure
H8506	תֹּ֫כֶן	To.khen	quantity
H8507	תֹּ֫כֶן	To.khen	Tochen
H8508	תׇּכְנִית	ta.khe.Nit	proportion
H8509	תַּכְרִיךְ	takh.Rikh	robe
H8510	תֵּל	tel-	mound
H8511	תָּלָא	te.lu.'Im	to hang
H8512	תֵּל אָבִיב	tel	Tel-abib
H8513	תְּלָאָה	te.la.'Ah	hardship
H8514	תַּלְאֻבָה	tal.'u.Vot	drought
H8515	תְּלַאשָּׂ֑ר	t.la.Sar	Telassar
H8516	תִּלְבֹּשֶׁת	til.Bo.shet	clothing
H8517	תְּלַג	t.Lag	snow
H8518	תָּלָה	ta.Lah	to hang
H8519	תְּלֻנָּה	te.lu.no.tei.	murmuring
H8520	תֶּ֫לַח	Te.lach	Telah
H8521	תֵּל חַרְשָׁא	tel	Tel-harsha
H8522	תְּלִי	tel.ye.	quiver
H8523	תְּלִיתַי	te.li.ta.ya	third
H8524	תָּלוּל	ta.Lul	eminent
H8525	תֶּ֫לֶם	te.la.Mei.	furrow
H8526	תַּלְמַי	tal.Mai	Talmai
H8527	תַּלְמִיד	tal.Mid	pupil
H8528	תֵּל מֶ֫לַח	Tel	Tel-melah
H8530	תַּלְפִּיָּוֹת	tal.pi.Yot	weapon
H8531	תְּלַת	tal.Ta	third
H8532	תְּלָת	te.la.Ta'	three
H8534	תַּלְתַּלִּים	tal.ta.Lim	lock
H8535	תָּם	Tam	complete
H8536	תַּמָּה	ta.Mah	there
H8537	תֹּם	tom-	integrity
H8538	תֻּמָּה	tu.ma.T	integrity
H8539	תָּמַהּ	i.yit.me.Hu	to astounded
H8541	תִּמָּהוֹן	tim.Hon	bewilderment
H8542	תַּמּוּז	ta.Muz	Tammuz
H8543	תְּמוֹל	t.Mol	yesterday
H8544	תְּמוּנָה	te.mu.Nah	likeness
H8545	תְּמוּרָה	te.mu.ra.T	exchange
H8546	תְּמוּתָה	te.mu.Tah	death
H8547	תָּ֑מַח	Ta.mach	Temah
H8548	תָּמִיד	ta.Mid	continuity
H8549	תָּמִים	ta.Mim	unblemished
H8550	תֻּמִּים	tu.Mim	Thummim
H8551	תָּמַךְ	i.yit.Mokh	to grasp
H8552	תָּמַם	i.yi.Tom	to finish
H8553	תִּמְנָה	tim.Na.ta	Timnah
H8554	תִּמְנִי	tim.Ni	Timnites|Timnah
H8555	תִּמְנָע	tim.Na'	Timna
H8556	תִּמְנַת סֶ֫רַח	tim.nat-	Timnath-heres
H8558	תָּמָר	te.ma.Rim	palm
H8559	תָּמָר	ta.Mar	Tamar
H8560	תֹּ֫מֶר	To.mer	palm
H8561	תִּמֹרָה	ti.mo.Rot	palm
H8562	תַּמְרוּק	tam.ru.kei.	cosmetic
H8563	תַּמְרוּר	tam.ru.Rim	bitterness
H8564	תַּמְרוּר	tam.ru.Rim	signpost
H8565	תַּן	ta.Nim	dragon
H8566	תָּנָה	hit.Nu	to hire
H8567	תָּנָה	ye.ta.Nu	to recount
H8569	תְּנוּאָה	te.nu.'a.T	opposition
H8570	תְּנוּבָה	te.nu.Vot	fruit
H8571	תְּנוּךְ	te.nuKh	lobe
H8572	תְּנוּמָה	t.nu.Mot	slumber
H8573	תְּנוּפָה	te.nu.Fah	wave offering
H8574	תַּנּוּר	ta.Nur	oven
H8575	תַּנְחוּם	tan.chu.Mot	consolation
H8576	תַּנְחֻ֫מֶת	tan.Chu.met	Tanhumeth
H8577	תַּנִּין	ta.ni.Nim	serpent
H8578	תִּנְיָן	tin.ya.Nah	second
H8579	תִּנְיָנוּת	tin.ya.Nut	second time
H8580	תִּנְשֶׁ֫מֶת	tin.She.met	chameleon
H8581	תַּעָב	ta.'Ev	to abhor
H8582	תָּעָה	hit.'U	to go astray
H8583	תֹּ֫עִי, תֹּעוּ	To.'i	Toi
H8584	תְּעוּדָה	te.'u.Dah	testimony
H8585	תְּעָלָה	te.'a.Lah	conduit
H8586	תַּעֲלוּלִים	ta.'a.lu.Lim	caprice
H8587	תַּעֲלֻמָּהֿ	ta.'a.lu.Mot	secret
H8588	תַּעֲנוּג	ta.'a.Nug	luxury
H8589	תַּעֲנִית	ta.'a.ni.T	fasting
H8590	תַּעֲנָךְ	ta'.naKh	Taanach
H8591	תָּעַע	m.ta'.Te.a'	to mock
H8593	תַּ֫עַר	Ta.'ar	razor
H8594	תַּעֲרֻבָה	ta.'a.ru.Vot	security
H8595	תֵּעְתֻּעִים	ta'.tu.'Im	delusion
H8596	תֹּף	Tof	tambourine
H8597	תִּפְאָרָה	tif.'A.ret	beauty
H8598	תַּפּוּחַ	ta.pu.Chei	apple
H8599	תַּפּוּחַ	ta.Pu.ach	Tappuah
H8600	תְּפוֹצָה	te.fo.Tzo.ti.	dispersion
H8602	תָּפֵל	Ta.fel	insipid
H8603	תֹּ֫פֶל	To.fel	Tophel
H8604	תִּפְלָה	tif.Lah	folly
H8605	תְּפִלָּה	te.fi.Lah	prayer
H8606	תִּפְלֶ֫צֶת	tif.latz.te.	terror
H8607	תִּפְסַח	tif.Sach	Tiphsah
H8609	תָּפַר	i.yit.pe.Ru	to sew
H8610	תָּפַשׂ	to.Fes	to capture
H8611	תֹּ֫פֶת	To.fet	spit
H8612	תֹּ֫פֶת	To.fet	Hinnom_Valley
H8613	תׇּפְתֶּה	ta.fe.Teh	Hinnom_Valley
H8614	תִּפְתָּיֵא	tif.ta.Ye	magistrate
H8615	תִּקְוָה	tik.Vat	cord
H8616	תִּקְוָה	tik.Vah	Tikvah
H8617	תְּקוּמָה	te.ku.Mah	standing
H8618	תְּקוֹמֵם	t.ko.Mei.	to confront
H8619	תָּקוֹעַ	ta.Ko.a'	trumpet
H8620	תְּקוֹעַ	te.Ko.'a	Tekoa
H8621	תְּקוֹעִי	te.ko.'It	Tekoa
H8622	תְּקוּפָה	te.ku.Fat	circuit
H8623	תַּקִּיף	hat.kif	mighty
H8624	תַּקִּיף	ta.ki.Fin	strong
H8625	תְּקֵל	te.Kel	shekel
H8626	תָּקַן	t.Kon	be straight
H8628	תָּקַע	ta.Ka'	to blow
H8629	תֵּ֫קַע	Te.ka'	blast
H8630	תָּקֵף	tit.ke.Fe.	to prevail
H8631	תְּקֵף	tik.Fat	to grow strong
H8632	תְּקֹף	ta.ke.Pa	might
H8633	תֹּ֫קֶף	To.kef	power
H8634	תַּרְאֲלָה	tar.'a.Lah	Taralah
H8635	תַּרְבּוּת	tar.But	increase
H8636	תַּרְבִּית	tar.Bit	increment
H8637	תִּרְגַּל	tir.Gal.ti	to teach
H8638	תִּרְגֵּם	me.tur.Gam	to translate
H8639	תַּרְדֵּמָה	tar.de.Mah	deep sleep
H8640	תִּרְהָקָה	tir.Ha.kah	Tirhakah
H8641	תְּרוּמָה	te.ru.Mah	contribution
H8642	תְּרוּמִיָּה	te.ru.mi.Yah	contribution
H8643	תְּרוּעָה	te.ru.'Ah	shout
H8644	תְּרוּפָה	t.ru.Fah	healing
H8645	תִּרְזָה	tir.Zah	cypress
H8646	תֶּ֫רַח	Ta.rach	Terah
H8647	תִּרְחֲנָה	tir.cha.Nah	Tirhanah
H8648	תְּרֵין	tar.Tein	two
H8649	תׇּרְמָה	ta.re.Mah	treachery
H8650	תֹּ֫רֶן	To.ren	mast
H8651	תְּרַע	t.Ra'	door
H8652	תָּרָע	ta.ra.'ai.Ya	doorkeeper
H8653	תַּרְעֵלָה	tar.'e.Lah	reeling
H8654	תִּרְעָתִים	tir.'a.Tim	Tirathite
H8655	תְּרָפִים	te.ra.Fim	Teraphim
H8656	תִּרְצָה	tir.Tzah	Tirzah
H8657	תֶּ֫רֶשׁ	Te.resh	Teresh
H8658	תַּרְשִׁישׁ	tar.Shish	jasper
H8659	תַּרְשִׁישׁ	tar.Shish	Tarshish
H8660	תִּרְשָׁתָא	tir.Sha.ta'	governor
H8661	תַּרְתָּן	tar.Tan	Tartan
H8662	תַּרְתָּ֑ק	tar.Tak	Tartak
H8663	תְּשֻׁאָה	te.shu.'ot	shout
H8664	תִּשְׁבִּי	tish.Bi	Tishbite
H8665	תַּשְׁבֵּץ	tash.Betz	checkered
H8666	תְּשׁוּבָה	te.shu.va.T	turn
H8668	תְּשׁוּעָה	te.shu.'Ah	deliverance
H8669	תְּשׁוּקָה	te.Shu.ka.Te	desire
H8670	תְּשׁוּרָה	te.shu.Rah	present
H8671	תְּשִׁיעִי	te.shi.'It	ninth
H8672	תֵּ֫שַׁע	te.Sha'	nine
H8673	תִּשְׁעִים	tish.'Im	ninety
H8674	תַּתְּנַי	Ta.te.nai	Tattenai
H9001	ו	va	&
H9002	ו	ve.	and
H9003	ב	be.	in
H9004	כ	ki	like
H9005	ל	la.	to
H9006	מ	mi.	from
H9007	ש	sha.	which
H9008	ה	ha.	¿
H9009	ה	ha.	the
H9010	a	'	the
H9011	ה	h	to
H9012	ה	h	emph.
H9013	נ	n	emph.
H9014	־	-	link
H9020	Ps1c	i	my
H9021	Ps2m	Cha	your
H9022	Ps2f	kh	your
H9023	Ps3m	o	his
H9024	Ps3f	h	her
H9025	Pp1c	nu	our
H9026	Pp2m	Khem	your
H9027	Pp2f	Khen	your
H9028	Pp3m	Hem	their
H9029	Pp3f	Hen	their
H9030	Os1c	i	me
H9031	Os2m	Kha	you
H9032	Os2f	kh	you
H9033	Os3m	o	him
H9034	Os3f	ha	her
H9035	Op1c	nu	us
H9036	Op2m	Khem	you
H9037	Op2f	Khe.nah	you
H9038	Op3m	m	them
H9039	Op3f	Hen	them
H9040	Ss1c	Ni	I
H9041	Ss2m	Kha	you
H9042	Ss2f	kh	you
H9043	Ss3m	o	he
H9044	Ss3f	nah	she
H9045	Sp1c	Nu	we
H9046	Sp2m	Khem	you
H9047	Sp2f	Khen	you
H9048	Sp3m	m	they
H9049	Sp3f	n	they
G0001	Ἀλφα	alpha	alpha
G0002	Ἀαρών	Aarōn	Aaron
G0003	Ἀβαδδών	Abaddōn	Abaddon
G0004	ἀβαρής	abarē	not burdensome
G0005	ἀββά	abba	Father
G0006	Ἄβελ	Habel	Abel
G0007	Ἀβιά	Abia	Abijah
G0008	Ἀβιαθάρ	Abiathar	Abiathar
G0009	Ἀβιληνή	Abilēnēs	Abilene
G0010	Ἀβιούδ	Abioud	Abiud
G0011	Ἀβραάμ	Abraam	Abraham
G0012	ἄβυσσος	abusson	abyss
G0013	Ἄγαβος	Hagabos	Agabus
G0014	ἀγαθοεργέω	agathourgōn	to do good
G0015	ἀγαθοποιέω	agathopoiēsai	to do good
G0016	ἀγαθοποιΐα	agathopoiia	doing good
G0017	ἀγαθοποιός	agathopoiōn	doing good
G0018	ἀγαθός	agathous	good-doer
G0019	ἀγαθωσύνη	agathōsunēs	goodness
G0020	ἀγαλλίασις	agalliasis	joy
G0021	ἀγαλλιάω	agalliasthe	to rejoice
G0022	ἄγαμος	agamois	unmarried
G0023	ἀγανακτέω	ēganaktēsan	be indignant
G0024	ἀγανάκτησις	aganaktēsin	indignation
G0025	ἀγαπάω	agapēseis	to love
G0026	ἀγάπη	agapē	love
G0027	ἀγαπητός	agapētos	beloved
G0028	Ἄγαρ	Hagar	Hagar
G0029	ἀγγαρεύω	angareusei	to force
G0030	ἀγγεῖον	angeiois	jar
G0031	ἀγγελία	angelia	message
G0032	ἄγγελος	angelos	angel
G0034	ἀγέλη	agelē	herd
G0035	ἀγενεαλόγητος	agenealogētos	without genealogy
G0036	ἀγενής	agenē	lowly
G0037	ἁγιάζω	hagiasthētō	to sanctify
G0038	ἁγιασμός	hagiasmon	holiness
G0039	ἅγιος	hagiōn	holy
G0040	ἅγιος	hagiou	holy
G0041	ἁγιότης	hagiotētos	holiness
G0042	ἁγιωσύνη	hagiōsunēs	holiness
G0043	ἀγκάλη	agkalas	arm
G0044	ἄγκιστρον	agkistron	fishhook
G0045	ἄγκυρα	agkuras	anchor
G0046	ἄγναφος	agnaphou	unshrunk
G0047	ἁγνεία	hagneia	purity
G0048	ἁγνίζω	hagnisōsin	to purify
G0049	ἁγνισμός	hagnismou	purification
G0050	ἀγνοέω	ēgnooun	be ignorant
G0051	ἀγνόημα	agnoēmatōn	error
G0052	ἄγνοια	agnoian	ignorance
G0053	ἁγνός	hagnous	pure
G0054	ἁγνότης	hagnotēti	purity
G0056	ἀγνωσία	agnōsian	ignorance
G0057	ἄγνωστος	agnōstō	unknown
G0058	ἀγορά	agorais	marketplace
G0059	ἀγοράζω	agorazei	to buy
G0060	ἀγοραῖος	agoraiōn	of the marketplace
G0061	ἄγρα	agran	catch
G0062	ἀγράμματος	agrammatoi	unschooled
G0063	ἀγραυλέω	agraulountes	to live outside
G0064	ἀγρεύω	agreusōsin	to catch
G0065	ἀγριέλαιος	agrielaios	wild olive tree
G0066	ἄγριος	agrion	wild
G0067	Ἀγρίππας	Agrippas	Agrippa
G0068	ἀγρός	agrou	field
G0069	ἀγρυπνέω	agrupneite	be watchful
G0070	ἀγρυπνία	agrupniais	sleeplessness
G0071	ἄγω	achthēsesthe	to bring
G0072	ἀγωγή	agōgēa	self-conduct
G0073	ἀγών	agōna	fight
G0074	ἀγωνία	agōnia	a struggle
G0075	ἀγωνίζομαι	agōnizesthe	to struggle
G0076	Ἀδάμ	Adam	Adam
G0077	ἀδάπανος	adapanon	free
G0078	Ἀδδί	Addi	Addi
G0079	ἀδελφή	adelphē	sister
G0080	ἀδελφός	adelphous	brother
G0081	ἀδελφότης	adelphotēta	brotherhood
G0082	ἄδηλος	adēla	unclear
G0083	ἀδηλότης	adēlotēti	uncertainty
G0084	ἀδήλως	adēlōs	uncertainly
G0085	ἀδημονέω	adēmonein	be distressed
G0086	ᾍδης	hadou	Hades
G0087	ἀδιάκριτος	adiakritos	impartial
G0088	ἀδιάλειπτος	adialeiptos	continuous
G0089	ἀδιαλείπτως	adialeiptōs	unceasingly
G0090	ἀδιαφθορία	adiaphthorian	unspoilable
G0091	ἀδικέω	adikō	to harm
G0092	ἀδίκημα	adikēma	crime
G0093	ἀδικία	adikias	unrighteousness
G0094	ἄδικος	adikous	unjust
G0095	ἀδίκως	adikōs	unjustly
G0096	ἀδόκιμος	adokimon	failing
G0097	ἄδολος	adolon	pure
G0098	Ἀδραμυττηνός	Adramuttēnō	Adramyttene
G0099	Ἀδρίας	Adria	Adriatic Sea
G0100	ἁδρότης	hadrotēti	abundance
G0101	ἀδυνατέω	adunatēsei	not to be able
G0102	ἀδύνατος	adunaton	unable
G0103	ᾄδω	adontes	to sing
G0104	ἀεί	aei	always
G0105	ἀετός	aetoi	eagle
G0106	ἄζυμος	azumōn	unleavened
G0107	Ἀζώρ	Azōr	Azor
G0108	Ἄζωτος	Azōton	Azotus
G0109	ἀήρ	aera	air
G0110	ἀθανασία	athanasian	immortality
G0111	ἀθέμιτος	athemiton	unlawful
G0112	ἄθεος	atheoi	without God
G0113	ἄθεσμος	athesmōn	lawless
G0114	ἀθετέω	athetēsai	to reject
G0115	ἀθέτησις	Athetēsis	nullification
G0116	Ἀθῆναι	Athēnōn	Athens
G0117	Ἀθηναῖος	Athēnaioi	Athenian
G0118	ἀθλέω	athlēa	to compete
G0119	ἄθλησις	athlēsin	struggle
G0120	ἀθυμέω	athumōsin	be discouraged
G0121	ἀθῷος	athōon	innocent
G0122	αἴγειος	aigeiois	goat's
G0123	αἰγιαλός	aigialon	shore
G0124	Αἰγύπτιος	Aiguptiōn	Egyptian
G0125	Αἴγυπτος	Aigupton	Egypt
G0126	ἀΐδιος	aidios	eternal
G0127	αἰδώς	aidous	modesty
G0128	Αἰθίοψ	Aithiops	Ethiopian
G0129	αἷμα	haima	blood
G0130	αἱματεκχυσία	haimatekchusias	bloodshed
