Strong-szám	Szótő	Kiejtés	Rövid jelentés
H0189	אֱוִי	'e.Vi	Evi
H0190	אוֹיָה	'o.yah-	woe!
H0191	אֱוִיל	'e.vil	fool(ish)
H0192	אֱוִיל מְרֹדַךְ	'e.Vil	Evil-merodach
H0193	אוּל	'u.La	strength
H0194	אוּלַי	'u.Lai	perhaps
H0195	אוּלַי	'u.Lai	Ulai
H0196	אֱוִלִי	'e.vi.Li	foolish
H0197	אוּלָם	'u.Lam	porch
H0198	אוּלָם	'u.Lam	Ulam
H0199	אוּלָם	'u.Lam	but
H0200	אִוֶּ֫לֶת	'i.val.T	folly
H0201	אוֹמָר	'o.Mar	Omar
H0202	אוֹן	'o.N	strength
H0203	אוֹן	'on	On
H0204	אֹן	'on	On
H0205	אָ֫וֶן	'a.ven	evil
H0206	אָ֫וֶן	'A.ven	Bethel
H0207	אוֹנוֹ	'o.No	Ono
H0208	אוֹנָם	'o.Nam	Onam
H0209	אוֹנָן	'o.Nan	Onan
H0210	אוּפָז	'u.Faz	Uphaz
H0211	אוֹפִיר	'o.Fir	Ophir
H0212	אוֹפָן	'o.Fan	wheel
H0213	אוּץ	i.ya.'I.tzu	to hasten
H0214	אוֹצָר	'o.tza.R	treasure
H0215	אוֹר	ha.'Ir	to light
H0216	אוֹר	'or	light
H0217	אֻרִים	'u.Rim	flame
H0218	אוּר	'Ur	Ur
H0219	אוֹרָה	'o.Rot	herb
H0220	אֲוֵרָה	'a.ve.Rot	stall
H0221	אוּרִי	'u.Ri	Uri
H0222	אוּרִיאֵל	'u.ri.'El	Uriel
H0223	אוּרִיָּה	'u.ri.Yah	Uriah
H0224	אוּרִים	'u.Rim	Urim
H0225	אוּת	ne.'ot	to consent
H0226	אוֹת	'o.Tot	sign
H0227	אָז	'az	then
H0228	אֲזָא	me.Ze'	to heat
H0229	אֶזְבָּ֑י	'ez.Bai	Ezbai
H0230	אַזְדָּא	'az.Da'	gone
H0231	אֵזוֹב	'e.Zov	hyssop
H0232	אֵזוֹר	'e.Zor	girdle
H0233	אֲזַי	'A.zai	then
H0234	אַזְכָּרָה	'az.ka.ra.Ta	memorial
H0235	אָזַל	'A.ze.lat	be gone
H0236	אֲזַל	'a.Za.lu	to go
H0237	אֶזֶל	'A.zel	Ezel_Stone
H0238	אָזַן	ha'.Ze.nah	to listen
H0239	אָזַן	'i.Zen	to ponder
H0241	אֹ֫זֶן	'a.ze.nei.	ear
H0242	אֻזֵּן שֶׁאֱרָה	'u.Zen	Uzzen-sheerah
H0243	אַזְנוֹת תָּבוֹר	'az.Not	Aznoth-tabor
H0244	אׇזְנִי	'a.ze.Ni	Ezbon
H0246	אֲזֵק	zi.Kim	chains
H0247	אָזַר	'A.ze.ru	to gird
H0248	אֶזְרוֹעַ	'ez.ro.'	arm
H0249	אֶזְרָח	'ez.Rach	born
H0251	אָח	'a.Chi	brother
