Igehely	Kapcsolódó igehely	Kapcsolódó igehely magyar megjelenítése
Ezk.24.5	Ezk.24.9	Ezék 24,9
Ezk.24.6	Ezk.22.2	Ezék 22,2
Ezk.24.7	Ezk.16.20-Ezk.16.21	Ezék 16,20-21
Ezk.24.8	Jer.44.1	Jer 44,1
Ezk.24.9	Ezk.24.6	Ezék 24,6
Ezk.24.9	Ezk.22.2	Ezék 22,2
Ezk.24.10	Jer.30.9	Jer 30,9
Ezk.24.10	Hos.3.5	Hós 3,5
Ezk.24.11	Isa.4.3	Ésa 4,3
Ezk.24.12	Jer.43.8-Jer.43.10	Jer 43,8-10
Ezk.24.13	Ezk.24.11	Ezék 24,11
Ezk.24.14	Ezk.31.1	Ezék 31,1
Ezk.24.15	Isa.11.1-Isa.11.5	Ésa 11,1-5
Ezk.24.15	Isa.11.11-Isa.11.14	Ésa 11,11-14
Ezk.24.16	Ezk.24.18	Ezék 24,18
Ezk.24.17	Lev.13.45	3Móz 13,45
Ezk.24.17	Jer.16.7	Jer 16,7
Ezk.24.18	Ezk.32.2	Ezék 32,2
Ezk.24.18	Ezk.32.9-Ezk.32.11	Ezék 32,9-11
Ezk.24.19	Jer.43.8-Jer.43.13	Jer 43,8-13
Ezk.24.20	Ezk.24.23	Ezék 24,23
Ezk.24.20	Ezk.29.12	Ezék 29,12
Ezk.24.21	Jer.7.4	Jer 7,4
Ezk.24.22	Ezk.25.8-Ezk.25.12	Ezék 25,8-12
Ezk.24.22	Psa.137.7	Zsolt 137,7
Ezk.24.23	2Ki.16.8-2Ki.16.9	2Kir 16,8-9
Ezk.24.23	2Ki.17.6	2Kir 17,6
Ezk.24.23	2Ki.18.13	2Kir 18,13
Ezk.24.25	Jer.7.4	Jer 7,4
Ezk.24.26	Dan.4.18	Dán 4,18
Ezk.24.27	Ezk.33.22	Ezék 33,22
Ezk.25.1	Gen.2.8	1Móz 2,8
Ezk.25.2	Jer.49.1-Jer.49.2	Jer 49,1-2
Ezk.25.3	Amo.1.13	Ámós 1,13
Ezk.25.4	Nam.3.1-Nam.3.7	Náh 3,1-7
Ezk.25.5	2Sa.12.26	2Sám 12,26
Ezk.25.7	Ezk.15.3	Ezék 15,3
Ezk.25.7	Ezk.15.6-Ezk.15.8	Ezék 15,6-8
Ezk.25.7	Ezk.26.2	Ezék 26,2
Ezk.25.7	Psa.137.7	Zsolt 137,7
Ezk.25.8	Deu.2.4-Deu.2.5	5Móz 2,4-5
Ezk.25.8	Psa.137.7	Zsolt 137,7
Ezk.25.9	Isa.14.9-Isa.14.12	Ésa 14,9-12
Ezk.25.10	Ezk.25.4	Ezék 25,4
Ezk.25.11	Ezk.28.10	Ezék 28,10
Ezk.25.12	Ezk.25.8	Ezék 25,8
Ezk.25.12	Ezk.35.5	Ezék 35,5
Ezk.25.12	Amo.1.11	Ámós 1,11
Ezk.25.12	Psa.137.7	Zsolt 137,7
Ezk.25.13	Jer.25.12	Jer 25,12
Ezk.25.14	Ezk.12.13	Ezék 12,13
Ezk.25.14	Ezk.29.3-Ezk.29.4	Ezék 29,3-4
Ezk.25.15	Isa.14.29-Isa.14.31	Ésa 14,29-31
Ezk.25.16	Jas.1.5-Jas.1.6	Jak 1,5-6
Ezk.25.17	Ezk.29.3	Ezék 29,3
Ezk.26.1	Isa.13.9-Isa.13.10	Ésa 13,9-10
Ezk.26.2	Amo.1.9	Ámós 1,9
Ezk.26.3	Job.38.36	Jób 38,36
Ezk.26.4	Isa.23.1	Ésa 23,1
Ezk.26.4	Isa.23.8-Isa.23.14	Ésa 23,8-14
Ezk.26.5	2Ki.17.15-2Ki.17.19	2Kir 17,15-19
Ezk.26.5	2Ki.21.15-2Ki.21.16	2Kir 21,15-16
Ezk.26.6	Ezk.31.12	Ezék 31,12
Ezk.26.7	Dan.2.37-Dan.2.38	Dán 2,37-38
Ezk.26.8	Jer.44.15-Jer.44.19	Jer 44,15-19
Ezk.26.8	Rom.2.24	Róm 2,24
Ezk.26.10	Deu.9.5	5Móz 9,5
Ezk.26.11	Jer.47.3	Jer 47,3
Ezk.26.11	Isa.5.28	Ésa 5,28
Ezk.26.12	Ezk.26.4	Ezék 26,4
Ezk.26.13	Isa.24.8	Ésa 24,8
Ezk.26.14	Ezk.26.10-Ezk.26.12	Ezék 26,10-12
Ezk.26.15	Ezk.26.12	Ezék 26,12
Ezk.26.16	Nam.3.1-Nam.3.7	Náh 3,1-7
Ezk.26.18	Jer.49.35-Jer.49.39	Jer 49,35-39
Ezk.26.19	Jer.17.2	Jer 17,2
Ezk.26.21	Isa.4.3	Ésa 4,3
Ezk.27.2	Jer.49.7	Jer 49,7
Ezk.27.3	Ezk.27.4-Ezk.27.11	Ezék 27,4-11
Ezk.27.4	Ezk.27.25	Ezék 27,25
Ezk.27.6	Isa.2.13	Ésa 2,13
Ezk.27.8	Ezk.27.11-Ezk.27.12	Ezék 27,11-12
Ezk.27.9	Ezk.1.7	Ezék 1,7
Ezk.27.10	Ezk.27.14	Ezék 27,14
Ezk.27.11	Ezk.3.17-Ezk.3.18	Ezék 3,17-18
Ezk.27.12	Isa.23.1	Ésa 23,1
Ezk.27.15	Lev.26.39	3Móz 26,39
Ezk.27.16	Ezk.18.32	Ezék 18,32
Ezk.27.17	1Ki.5.2-1Ki.5.3	1Kir 5,2-3
Ezk.27.21	Psa.120.5	Zsolt 120,5
Ezk.27.21	Gen.25.12-Gen.25.15	1Móz 25,12-15
Ezk.27.22	1Ki.10.1-1Ki.10.10	1Kir 10,1-10
Ezk.27.23	Ezk.27.1	Ezék 27,1
Ezk.27.24	Ezk.27.11	Ezék 27,11
Ezk.27.25	Ezk.18.25-Ezk.18.27	Ezék 18,25-27
Ezk.27.26	Ezk.17.10	Ezék 17,10
Ezk.27.27	Ezk.24.27	Ezék 24,27
Ezk.27.28	Ezk.26.10-Ezk.26.15	Ezék 26,10-15
Ezk.27.29	Ezk.34.23	Ezék 34,23
Ezk.27.30	Jer.6.26	Jer 6,26
Ezk.27.31	Jer.31.31-Jer.31.34	Jer 31,31-34
Ezk.27.32	Ezr.3.10-Ezr.3.11	Ezsdr 3,10-11
Ezk.27.35	Rev.20.8	Jel 20,8
Ezk.27.36	1Ki.9.8	1Kir 9,8
Ezk.28.1	Jer.13.23	Jer 13,23
Ezk.28.1	Jer.18.22	Jer 18,22
Ezk.28.2	Ezk.28.6	Ezék 28,6
Ezk.28.2	Isa.31.3	Ésa 31,3
Ezk.28.2	Isa.47.8	Ésa 47,8
Ezk.28.2	2Th.2.4	2Thess 2,4
Ezk.28.3	Dan.2.26-Dan.2.47	Dán 2,26-47
Ezk.28.4	Ezk.28.3-Ezk.28.5	Ezék 28,3-5
Ezk.28.4	Ezk.28.12	Ezék 28,12
Ezk.28.4	Zec.9.12	Zak 9,12
Ezk.28.5	Psa.62.1	Zsolt 62,1
Ezk.28.5	Dan.4.27	Dán 4,27
Ezk.28.6	Ezk.28.2	Ezék 28,2
Ezk.28.7	Jer.23.2	Jer 23,2
Ezk.28.7	Jer.50.6	Jer 50,6
Ezk.28.7	1Pe.2.25	1Pét 2,25
Ezk.28.8	Jer.49.31	Jer 49,31
Ezk.28.9	Gen.46.32	1Móz 46,32
Ezk.28.10	Ezk.31.18	Ezék 31,18
Ezk.28.11	Ezk.1.7	Ezék 1,7
Ezk.28.12	Ezk.28.3	Ezék 28,3
Ezk.28.13	Ezk.27.5-Ezk.27.27	Ezék 27,5-27
Ezk.28.14	Ezk.33.21	Ezék 33,21
Ezk.28.14	2Ki.25.1-2Ki.25.11	2Kir 25,1-11
Ezk.28.15	Ezr.1.1-Ezr.1.11	Ezsdr 1,1-11
Ezk.28.16	Ezk.28.14	Ezék 28,14
Ezk.28.17	Ezk.28.15	Ezék 28,15
Ezk.28.18	1Sa.14.20	1Sám 14,20
Ezk.28.19	Ezk.27.36	Ezék 27,36
Ezk.28.20	Lev.10.2	3Móz 10,2
Ezk.28.21	Gen.10.2	1Móz 10,2
Ezk.28.22	Lev.10.1-Lev.10.3	3Móz 10,1-3
Ezk.28.23	Ezk.32.30	Ezék 32,30
Ezk.28.25	Jer.25.12	Jer 25,12
Ezk.28.25	Psa.127.1-Psa.127.3	Zsolt 127,1-3
Ezk.28.26	Jer.31.4-Jer.31.6	Jer 31,4-6
Ezk.29.1	Jer.31.31-Jer.31.34	Jer 31,31-34
Ezk.29.2	Jer.43.8-Jer.43.13	Jer 43,8-13
Ezk.29.3	Psa.74.13-Psa.74.14	Zsolt 74,13-14
Ezk.29.3	Isa.51.9	Ésa 51,9
Ezk.29.4	Isa.37.29	Ésa 37,29
Ezk.29.5	Ezk.32.4	Ezék 32,4
Ezk.29.6	2Ki.18.21	2Kir 18,21
Ezk.29.6	Isa.36.6	Ésa 36,6
Ezk.29.7	Ezk.28.2-Ezk.28.5	Ezék 28,2-5
Ezk.29.7	Act.12.22-Act.12.23	Csel 12,22-23
Ezk.29.8	Jer.43.10-Jer.43.11	Jer 43,10-11
Ezk.29.9	Ezk.29.3	Ezék 29,3
Ezk.29.9	Ezk.28.2	Ezék 28,2
Ezk.29.10	Deu.2.4-Deu.2.5	5Móz 2,4-5
Ezk.29.11	Isa.34.6	Ésa 34,6
Ezk.29.11	Zep.1.7-Zep.1.8	Sof 1,7-8
Ezk.29.12	Ezk.30.6-Ezk.30.7	Ezék 30,6-7
Ezk.29.13	Ezk.30.6-Ezk.30.7	Ezék 30,6-7
Ezk.29.14	Deu.32.4	5Móz 32,4
Ezk.29.15	Ezk.28.22-Ezk.28.23	Ezék 28,22-23
Ezk.29.16	Ezk.1.2	Ezék 1,2
Ezk.29.16	2Ki.25.13-2Ki.25.16	2Kir 25,13-16
Ezk.29.17	Psa.83.5-Psa.83.7	Zsolt 83,5-7
Ezk.29.17	Psa.83.13	Zsolt 83,13
Ezk.29.18	Isa.43.3	Ésa 43,3
Ezk.29.19	Ezk.25.8	Ezék 25,8
Ezk.29.20	Oba.1.11	Abd 1,11
Ezk.29.21	Psa.92.11	Zsolt 92,11
Ezk.29.21	Psa.132.17	Zsolt 132,17
Ezk.30.1	Oba.1.11-Oba.1.12	Abd 1,11-12
Ezk.30.2	Jol.2.28	Jóel 2,28
Ezk.30.2	Act.2.17	Csel 2,17
Ezk.30.3	Ezk.15.3	Ezék 15,3
Ezk.30.3	Ezk.15.6-Ezk.15.8	Ezék 15,6-8
Ezk.30.3	Ezk.26.2	Ezék 26,2
Ezk.30.3	Psa.137.7	Zsolt 137,7
Ezk.30.4	Ezk.29.10	Ezék 29,10
Ezk.30.5	Isa.20.3-Isa.20.6	Ésa 20,3-6
Ezk.30.5	Isa.43.3	Ésa 43,3
Ezk.30.5	Jer.46.9-Jer.46.10	Jer 46,9-10
Ezk.30.6	Ezk.29.10	Ezék 29,10
Ezk.30.7	Ezk.30.11	Ezék 30,11
Ezk.30.8	Jer.43.12	Jer 43,12
Ezk.30.9	Isa.43.3	Ésa 43,3
Ezk.30.10	Jer.43.10-Jer.43.13	Jer 43,10-13
Ezk.30.13	Isa.19.1	Ésa 19,1
Ezk.30.13	Jer.46.13-Jer.46.17	Jer 46,13-17
Ezk.30.14	Jer.44.1	Jer 44,1
Ezk.30.15	Ezk.34.28	Ezék 34,28
Ezk.30.16	Jer.50.31-Jer.50.32	Jer 50,31-32
Ezk.30.18	Jer.43.8-Jer.43.10	Jer 43,8-10
Ezk.30.19	2Ki.25.1-2Ki.25.11	2Kir 25,1-11
Ezk.30.20	Ezk.31.1	Ezék 31,1
Ezk.30.21	Jer.44.15-Jer.44.19	Jer 44,15-19
Ezk.30.21	Rom.2.24	Róm 2,24
Ezk.30.22	Ezk.6.2	Ezék 6,2
Ezk.30.23	Ezk.29.12	Ezék 29,12
Ezk.30.24	Ezk.32.2	Ezék 32,2
Ezk.30.24	Ezk.32.9-Ezk.32.11	Ezék 32,9-11
Ezk.30.25	Jer.43.8-Jer.43.13	Jer 43,8-13
Ezk.30.26	Ezk.30.23	Ezék 30,23
Ezk.30.26	Ezk.29.12	Ezék 29,12
Ezk.31.1	Ezk.30.20	Ezék 30,20
Ezk.31.3	2Ki.16.8-2Ki.16.9	2Kir 16,8-9
Ezk.31.3	2Ki.17.6	2Kir 17,6
Ezk.31.3	2Ki.18.13	2Kir 18,13
Ezk.31.5	Ezk.4.9-Ezk.4.17	Ezék 4,9-17
Ezk.31.6	Dan.4.18	Dán 4,18
Ezk.31.8	Gen.2.8	1Móz 2,8
Ezk.31.10	Gen.2.8-Gen.2.9	1Móz 2,8-9
Ezk.31.10	Isa.33.20-Isa.33.24	Ésa 33,20-24
Ezk.31.11	Nam.3.1-Nam.3.7	Náh 3,1-7
Ezk.31.12	Ezk.28.7	Ezék 28,7
Ezk.31.12	Ezk.30.11	Ezék 30,11
Ezk.31.13	Ezk.31.8	Ezék 31,8
Ezk.31.14	1Ki.7.38	1Kir 7,38
Ezk.31.15	Lev.4.1	3Móz 4,1
Ezk.31.15	Lev.6.1	3Móz 6,1
Ezk.31.16	Isa.14.9-Isa.14.12	Ésa 14,9-12
Ezk.31.18	Ezk.28.10	Ezék 28,10
Ezk.32.3	Ezk.12.13	Ezék 12,13
Ezk.32.3	Ezk.29.3-Ezk.29.4	Ezék 29,3-4
Ezk.32.4	Ezk.29.5	Ezék 29,5
Ezk.32.6	Ezk.29.3	Ezék 29,3
Ezk.32.7	Isa.13.9-Isa.13.10	Ésa 13,9-10
Ezk.32.8	Ezr.1.1	Ezsdr 1,1
Ezk.32.9	Ezk.5.1-Ezk.5.30	Ezék 5,1-30
Ezk.32.10	Ezk.30.24-Ezk.30.25	Ezék 30,24-25
Ezk.32.11	1Ki.6.16	1Kir 6,16
Ezk.32.12	Ezk.31.12	Ezék 31,12
Ezk.32.14	1Ki.11.29-1Ki.11.39	1Kir 11,29-39
Ezk.32.14	Isa.11.12-Isa.11.14	Ésa 11,12-14
Ezk.32.15	Ezk.40.5	Ezék 40,5
Ezk.32.16	Ezk.32.11	Ezék 32,11
Ezk.32.17	1Ki.11.31-1Ki.11.39	1Kir 11,31-39
Ezk.32.17	Jer.3.18	Jer 3,18
Ezk.32.18	Jer.1.10	Jer 1,10
Ezk.32.19	Ezk.28.10	Ezék 28,10
Ezk.32.19	Ezk.31.18	Ezék 31,18
Ezk.32.20	Ezk.32.10-Ezk.32.12	Ezék 32,10-12
Ezk.32.21	Ezk.32.12	Ezék 32,12
Ezk.32.22	Nam.3.1-Nam.3.7	Náh 3,1-7
Ezk.32.23	Ezk.2.3	Ezék 2,3
Ezk.32.23	Ezk.4.2	Ezék 4,2
Ezk.32.23	Ezk.5.6	Ezék 5,6
Ezk.32.24	Jer.49.35-Jer.49.39	Jer 49,35-39
Ezk.32.25	Rev.20.8	Jel 20,8
Ezk.32.26	Gen.10.2	1Móz 10,2
Ezk.32.26	Psa.120.5	Zsolt 120,5
Ezk.32.27	Ezk.29.4	Ezék 29,4
Ezk.32.27	Isa.37.29	Ésa 37,29
Ezk.32.28	Ezk.32.8	Ezék 32,8
Ezk.32.29	Jer.49.7	Jer 49,7
Ezk.32.30	Ezk.28.21-Ezk.28.24	Ezék 28,21-24
Ezk.32.32	Dan.11.40	Dán 11,40
Ezk.32.32	Jol.3.1-Jol.3.2	Jóel 3,1-2
Ezk.33.1	Ezk.33.18-Ezk.33.22	Ezék 33,18-22
Ezk.33.2	Jer.49.31	Jer 49,31
Ezk.33.3	Gen.46.32	1Móz 46,32
Ezk.33.5	Ezk.5.1-Ezk.5.30	Ezék 5,1-30
Ezk.33.5	Ezk.7.1	Ezék 7,1
Ezk.33.6	Ezk.3.17-Ezk.3.18	Ezék 3,17-18
Ezk.33.7	Ezk.3.17-Ezk.3.18	Ezék 3,17-18
Ezk.33.8	Isa.54.15-Isa.54.17	Ésa 54,15-17
Ezk.33.9	Ezk.33.21	Ezék 33,21
Ezk.33.10	Lev.26.39	3Móz 26,39
Ezk.33.11	Ezk.18.32	Ezék 18,32
Ezk.33.12	Ezk.18.24	Ezék 18,24
Ezk.33.13	Jdg.5.20	Bir 5,20
Ezk.33.13	2Sa.22.15	2Sám 22,15
Ezk.33.14	Lev.10.2	3Móz 10,2
Ezk.33.15	Gen.10.2	1Móz 10,2
Ezk.33.16	Ezk.38.15	Ezék 38,15
Ezk.33.18	Jol.3.1-Jol.3.2	Jóel 3,1-2
Ezk.33.19	Ezk.33.11	Ezék 33,11
Ezk.33.20	Ezk.18.25-Ezk.18.27	Ezék 18,25-27
Ezk.33.21	2Ki.25.1-2Ki.25.4	2Kir 25,1-4
Ezk.33.22	Ezk.24.27	Ezék 24,27
Ezk.33.23	Hos.2.17	Hós 2,17
Ezk.33.23	Mic.4.3	Mik 4,3
Ezk.33.24	Ezk.1.4	Ezék 1,4
Ezk.33.24	Ezk.8.4	Ezék 8,4
Ezk.33.25	Ezk.33.5	Ezék 33,5
Ezk.33.26	Ezk.44.4	Ezék 44,4
Ezk.33.28	1Ch.28.2	1Krón 28,2
Ezk.33.29	Ezk.33.11	Ezék 33,11
Ezk.33.30	Ezk.33.14	Ezék 33,14
Ezk.33.31	Jer.42.2-Jer.42.4	Jer 42,2-4
Ezk.33.31	Jer.43.2-Jer.43.4	Jer 43,2-4
Ezk.33.31	Jer.44.15-Jer.44.19	Jer 44,15-19
Ezk.33.32	Jer.13.23	Jer 13,23
Ezk.33.32	Jer.18.22	Jer 18,22
Ezk.33.33	Jer.25.12	Jer 25,12
Ezk.33.33	Jer.29.10	Jer 29,10
Ezk.34.2	Jer.1.2	Jer 1,2
Ezk.34.3	2Ki.17.13-2Ki.17.20	2Kir 17,13-20
Ezk.34.4	1Pe.5.2-1Pe.5.3	1Pét 5,2-3
Ezk.34.5	Jer.23.2	Jer 23,2
Ezk.34.5	Jer.50.6	Jer 50,6
Ezk.34.5	1Pe.2.25	1Pét 2,25
Ezk.34.7	Ezk.40.46	Ezék 40,46
Ezk.34.8	Ezk.34.3	Ezék 34,3
Ezk.34.9	Psa.126.1-Psa.126.3	Zsolt 126,1-3
Ezk.34.10	Jol.2.28	Jóel 2,28
Ezk.34.10	Act.2.17	Csel 2,17
Ezk.34.11	Ezk.23.21	Ezék 23,21
Ezk.34.12	Ezk.33.21	Ezék 33,21
Ezk.34.12	2Ki.25.1-2Ki.25.11	2Kir 25,1-11
Ezk.34.13	Ezr.1.1-Ezr.1.11	Ezsdr 1,1-11
Ezk.34.14	Ezk.44.5	Ezék 44,5
Ezk.34.15	Ezk.34.31	Ezék 34,31
Ezk.34.16	Psa.132.13-Psa.132.14	Zsolt 132,13-14
Ezk.34.16	Lam.1.4	Siral 1,4
Ezk.34.17	Ezk.43.1-Ezk.43.2	Ezék 43,1-2
Ezk.34.18	Ezk.46.1-Ezk.46.3	Ezék 46,1-3
Ezk.34.19	Ezk.43.2	Ezék 43,2
Ezk.34.22	Ezk.34.18	Ezék 34,18
Ezk.34.23	Isa.40.10-Isa.40.11	Ésa 40,10-11
Ezk.34.24	Jer.30.9	Jer 30,9
Ezk.34.24	Hos.3.5	Hós 3,5
Ezk.34.25	Jer.31.31-Jer.31.34	Jer 31,31-34
Ezk.34.26	Isa.11.9	Ésa 11,9
Ezk.34.26	Jer.14.2-Jer.14.4	Jer 14,2-4
Ezk.34.27	Ezr.1.1	Ezsdr 1,1
Ezk.34.28	Ezk.36.14	Ezék 36,14
Ezk.34.29	Isa.11.1-Isa.11.5	Ésa 11,1-5
Ezk.34.29	Isa.11.11-Isa.11.14	Ésa 11,11-14
Ezk.34.30	Ezk.34.24-Ezk.34.26	Ezék 34,24-26
Ezk.35.1	Lev.16.4	3Móz 16,4
Ezk.35.2	Ezk.7.18	Ezék 7,18
Ezk.35.3	Deu.2.4-Deu.2.5	5Móz 2,4-5
Ezk.35.4	Lev.21.5	3Móz 21,5
Ezk.35.5	Ezk.25.8-Ezk.25.12	Ezék 25,8-12
Ezk.35.5	Psa.137.7	Zsolt 137,7
Ezk.35.6	Isa.63.1-Isa.63.3	Ésa 63,1-3
Ezk.35.9	Lev.21.3	3Móz 21,3
Ezk.35.10	Psa.83.5-Psa.83.7	Zsolt 83,5-7
Ezk.35.10	Psa.83.13	Zsolt 83,13
Ezk.35.11	Ezk.35.9	Ezék 35,9
Ezk.35.11	Psa.83.13	Zsolt 83,13
Ezk.35.12	Ezk.25.8	Ezék 25,8
Ezk.35.13	Oba.1.11	Abd 1,11
Ezk.35.14	Exo.22.29-Exo.22.30	2Móz 22,29-30
Ezk.35.14	Num.18.12	4Móz 18,12
Ezk.35.15	Oba.1.11-Oba.1.12	Abd 1,11-12
Ezk.36.1	Ezk.48.8-Ezk.48.9	Ezék 48,8-9
Ezk.36.2	Ezk.15.3	Ezék 15,3
Ezk.36.2	Ezk.15.6-Ezk.15.8	Ezék 15,6-8
Ezk.36.2	Ezk.26.2	Ezék 26,2
Ezk.36.2	Psa.137.7	Zsolt 137,7
Ezk.36.3	Lev.4.1	3Móz 4,1
Ezk.36.3	Lev.6.1	3Móz 6,1
Ezk.36.4	Ezk.8.8-Ezk.8.22	Ezék 8,8-22
Ezk.36.5	Ezk.35.10	Ezék 35,10
Ezk.36.6	Ezk.36.1	Ezék 36,1
Ezk.36.7	Ezk.35.7-Ezk.35.9	Ezék 35,7-9
Ezk.36.8	Jer.25.12	Jer 25,12
Ezk.36.10	1Ki.2.35	1Kir 2,35
Ezk.36.12	Exo.30.13	2Móz 30,13
Ezk.36.13	Num.13.33	4Móz 13,33
Ezk.36.14	Ezk.34.28	Ezék 34,28
Ezk.36.16	Ezk.8.9	Ezék 8,9
Ezk.36.17	2Ki.17.15-2Ki.17.19	2Kir 17,15-19
Ezk.36.17	2Ki.21.15-2Ki.21.16	2Kir 21,15-16
Ezk.36.18	2Ki.25.1-2Ki.25.11	2Kir 25,1-11
Ezk.36.20	Jer.44.15-Jer.44.19	Jer 44,15-19
Ezk.36.20	Rom.2.24	Róm 2,24
Ezk.36.21	Ezk.40.5	Ezék 40,5
Ezk.36.22	Deu.9.5	5Móz 9,5
Ezk.36.23	Psa.126.2	Zsolt 126,2
Ezk.36.24	Ezr.1.1-Ezr.1.11	Ezsdr 1,1-11
Ezk.36.24	Ezr.3.10-Ezr.3.11	Ezsdr 3,10-11
Ezk.36.25	Isa.4.3	Ésa 4,3
Ezk.36.26	Ezk.11.18-Ezk.11.20	Ezék 11,18-20
Ezk.36.30	Ezk.4.9-Ezk.4.17	Ezék 4,9-17
Ezk.36.31	Jer.17.2	Jer 17,2
Ezk.36.32	Ezk.36.22	Ezék 36,22
Ezk.36.33	Isa.4.3	Ésa 4,3
Ezk.36.35	Gen.2.8-Gen.2.9	1Móz 2,8-9
Ezk.36.35	Isa.33.20-Isa.33.24	Ésa 33,20-24
Ezk.36.37	Ezk.44.1-Ezk.44.3	Ezék 44,1-3
Ezk.36.38	Ezk.36.18	Ezék 36,18
Ezk.37.3	Ezk.37.11-Ezk.37.12	Ezék 37,11-12
Ezk.37.4	Lev.25.10-Lev.25.13	3Móz 25,10-13
Ezk.37.7	Psa.48.2-Psa.48.3	Zsolt 48,2-3
Ezk.37.8	Ezk.10.13	Ezék 10,13
Ezk.37.9	Ezk.37.11-Ezk.37.12	Ezék 37,11-12
Ezk.37.11	Ezk.37.20	Ezék 37,20
Ezk.37.12	Isa.26.19	Ésa 26,19
Ezk.37.12	Zec.9.11	Zak 9,11
Ezk.37.13	Ezk.10.5	Ezék 10,5
Ezk.37.14	Ezk.40.3	Ezék 40,3
Ezk.37.15	Ezk.44.19	Ezék 44,19
Ezk.37.16	Ezk.37.4	Ezék 37,4
Ezk.37.17	Ezk.37.3-Ezk.37.4	Ezék 37,3-4
Ezk.37.19	1Ki.11.29-1Ki.11.39	1Kir 11,29-39
Ezk.37.19	Isa.11.12-Isa.11.14	Ésa 11,12-14
Ezk.37.22	1Ki.11.31-1Ki.11.39	1Kir 11,31-39
Ezk.37.22	Jer.3.18	Jer 3,18
Ezk.37.23	Isa.1.18-Isa.1.19	Ésa 1,18-19
Ezk.37.23	Isa.4.3	Ésa 4,3
Ezk.37.23	Jer.33.8	Jer 33,8
Ezk.37.24	Ezk.34.23	Ezék 34,23
Ezk.37.25	Ezk.20.2-Ezk.20.6	Ezék 20,2-6
Ezk.37.25	Exo.3.8	2Móz 3,8
Ezk.37.26	Jer.31.31-Jer.31.34	Jer 31,31-34
Ezk.37.27	Ezr.3.10-Ezr.3.11	Ezsdr 3,10-11
Ezk.37.28	1Ch.28.2	1Krón 28,2
Ezk.38.2	Rev.20.8	Jel 20,8
Ezk.38.3	Gen.10.2	1Móz 10,2
Ezk.38.3	Psa.120.5	Zsolt 120,5
Ezk.38.4	Ezk.29.4	Ezék 29,4
Ezk.38.4	Isa.37.29	Ésa 37,29
Ezk.38.7	Ezk.47.17	Ezék 47,17
Ezk.38.8	Jer.44.16-Jer.44.17	Jer 44,16-17
Ezk.38.9	Dan.11.40	Dán 11,40
Ezk.38.9	Jol.3.1-Jol.3.2	Jóel 3,1-2
Ezk.38.11	Jer.49.31	Jer 49,31
Ezk.38.12	Gen.46.32	1Móz 46,32
Ezk.38.13	Ezk.16.37-Ezk.16.42	Ezék 16,37-42
Ezk.38.14	Ezk.45.1	Ezék 45,1
Ezk.38.15	Dan.11.40-Dan.11.41	Dán 11,40-41
Ezk.38.16	Ezk.16.1	Ezék 16,1
Ezk.38.17	Isa.54.15-Isa.54.17	Ésa 54,15-17
Ezk.38.18	Jos.7.26	Józs 7,26
Ezk.38.18	Isa.65.10	Ésa 65,10
Ezk.38.19	Exo.29.37	2Móz 29,37
Ezk.38.20	Hos.4.3	Hós 4,3
Ezk.38.21	1Sa.14.20	1Sám 14,20
Ezk.38.22	Jdg.5.20	Bir 5,20
Ezk.38.22	2Sa.22.15	2Sám 22,15
Ezk.38.23	Lev.10.2	3Móz 10,2
Ezk.39.1	Gen.10.2	1Móz 10,2
Ezk.39.2	Ezk.38.15	Ezék 38,15
Ezk.39.3	Rom.9.25	Róm 9,25
Ezk.39.3	1Pe.2.10	1Pét 2,10
Ezk.39.4	Jol.3.1-Jol.3.2	Jóel 3,1-2
Ezk.39.7	2Ki.23.9	2Kir 23,9
Ezk.39.8	Ezk.38.17	Ezék 38,17
Ezk.39.9	Hos.2.17	Hós 2,17
Ezk.39.9	Mic.4.3	Mik 4,3
Ezk.39.10	Ezk.22.6-Ezk.22.12	Ezék 22,6-12
Ezk.39.10	Amo.4.1	Ámós 4,1
Ezk.39.10	Amo.5.7	Ámós 5,7
Ezk.39.10	Amo.6.12	Ámós 6,12
Ezk.39.10	Amo.8.4-Amo.8.6	Ámós 8,4-6
Ezk.39.10	Mic.2.1-Mic.2.2	Mik 2,1-2
Ezk.39.10	Mic.2.8-Mic.2.9	Mik 2,8-9
Ezk.39.10	Mic.3.2-Mic.3.3	Mik 3,2-3
Ezk.39.10	Mic.3.9-Mic.3.11	Mik 3,9-11
Ezk.39.10	Mic.6.10-Mic.6.12	Mik 6,10-12
Ezk.39.11	Amo.5.16-Amo.5.17	Ámós 5,16-17
Ezk.39.12	1Ki.2.35	1Kir 2,35
Ezk.39.14	Lev.16.4	3Móz 16,4
Ezk.39.15	Ezk.39.11	Ezék 39,11
Ezk.39.16	Ezk.42.14	Ezék 42,14
Ezk.39.17	Isa.34.6	Ésa 34,6
Ezk.39.17	Zep.1.7-Zep.1.8	Sof 1,7-8
Ezk.39.18	Lev.10.9	3Móz 10,9
Ezk.39.19	Lev.21.13-Lev.21.14	3Móz 21,13-14
Ezk.39.20	Gen.10.10	1Móz 10,10
Ezk.39.21	Ezk.28.22-Ezk.28.23	Ezék 28,22-23
Ezk.39.22	Lev.21.3	3Móz 21,3
Ezk.39.25	Ezk.39.29	Ezék 39,29
Ezk.39.25	Num.18.14	4Móz 18,14
Ezk.39.26	Num.18.14	4Móz 18,14
