Strong_padded	Strong_eredeti	Teljes_szocikk
H0031	H31	אֲבִיהוּד (ʼĂbîyhûwd｜ab-ee-hood'｜proper noun｜person｜Abihud) [pn] אֲבִיהוּד ETCBC: אֲבִיהוּד (nmpr｜Abihud) OSHL: a.ae.ak GK: H34 Greek: Ἀβιούδ Derivation: from אָב and הֹוד; father (i.e. possessor) of renown; Strong's: Abihud, the name of two Israelites KJV: Abihud.
H0032	H32	אֲבִיהַיִל (ʼĂbîyhayil｜ab-ee-hah'-yil｜proper noun｜person｜Abihail) [pn] אֲבִיהַיִל, אֲבִיחַיִל ETCBC: אֲבִיחַיִל (nmpr｜Abihail), אֲבִיהַיִל (nmpr｜Abihail) OSHL: a.ae.al GK: H35, H38 Derivation: or (more correctly) אֲבִיחַיִל ; from אָב and חַיִל; father (i.e. possessor) of might; Strong's: Abihail or Abichail, the name of three Israelites and two Israelitesses KJV: Abihail.
H0033	H33	אֲבִי הָעֶזְרִי (ʼĂbîy hâ-ʻEzrîy｜ab-ee'-haw-ez-ree'｜proper noun｜person｜Abiezrite) [pn] אֲבִי הָעֶזְרִי, אֲבִי ETCBC: עֶזְרִי (adjv｜-ezrite) OSHL: a.ae.au GK: H49 Derivation: from אֲבִיעֶזֶר with the article inserted; father of the Ezrite; Strong's: an Abiezrite or descendant of Abiezer KJV: Abiezrite.
H0034	H34	אֶבְיֹון (ʼebyôwn｜eb-yone'｜adjective｜in want) [Heb] אֶבְיֹון, אֶבְיׄון ETCBC: אֶבְיֹון (adjv｜poor) OSHL: a.ad.ab TWOT: 3a GK: H36 Greek: ἀδύνατος, ἀθυμέω, ἀνάγκη, ἀνήρ, ἀπελπίζω, ἀσθενής, ἐνδεής, πένης, πτωχός, ταπεινός Derivation: from אָבָה, in the sense of want (especially in feeling); Strong's: destitute KJV: beggar, needy, poor (man).
H0035	H35	אֲבִיֹּונָה (ʼăbîyôwnâh｜ab-ee-yo-naw'｜noun｜feminine｜caper-berry) [Heb] אֲבִיֹּונָה, אֲבִיּׄונָה ETCBC: אֲבִיֹּונָה (subs｜caper-fruit) OSHL: a.ad.ac TWOT: 3b GK: H37 Derivation: from אָבָה; Strong's: provocative of desire; the caper berry (from its stimulative taste) KJV: desire.
H0036	H36	אֲבִיטוּב (ʼĂbîyṭûwb｜ab-ee-toob'｜proper noun｜person｜Abitub) [pn] אֲבִיטוּב ETCBC: אֲבִיטוּב (nmpr｜Abitub) OSHL: a.ae.am GK: H39 Derivation: from אָב and טוּב; father of goodness (i.e. good); Strong's: Abitub, an Israelite KJV: Abitub.
H0037	H37	אֲבִיטָל (ʼĂbîyṭâl｜ab-ee-tal'｜proper noun｜person｜Abital) [pn] אֲבִיטָל ETCBC: אֲבִיטָל (nmpr｜Abital) OSHL: a.ae.an GK: H40 Derivation: from אָב and טַל; father of dew (i.e. fresh); Strong's: Abital, a wife of King David KJV: Abital.
H0038	H38	אֲבִיָּם (ʼĂbîyâm｜ab-ee-yawm'｜proper noun｜person｜Abijam) [pn] אֲבִיָּם ETCBC: אֲבִיָּם (nmpr｜Abijah) OSHL: a.ae.ai GK: H41 Derivation: from אָב and יָם; father of (the) sea (i.e. seaman); Strong's: Abijam (or Abijah), a king of Judah KJV: Abijam.
H0039	H39	אֲבִימָאֵל (ʼĂbîymâʼêl｜ab-ee-maw-ale'｜proper noun｜person｜Abimael) [pn] אֲבִימָאֵל ETCBC: אֲבִימָאֵל (nmpr｜Abimael) OSHL: a.ae.ao GK: H42 Derivation: from אָב and an elsewhere unused (probably foreign) word; father of Mael (apparently some Arab tribe); Strong's: Abimael, a son of Joktan KJV: Abimael.
H0040	H40	אֲבִימֶלֶךְ (ʼĂbîymelek｜ab-ee-mel'-ek｜proper noun｜person｜Abimelech) [pn] אֲבִימֶלֶךְ ETCBC: אֲבִימֶלֶךְ (nmpr｜Abimelech) OSHL: a.ae.ap GK: H43 Derivation: from אָב and מֶלֶךְ; father of (the) king; Strong's: Abimelek, the name of two Philistine kings and of two Israelites KJV: Abimelech.
