Strong_padded	Strong_eredeti	Teljes_szocikk
G1102	G1102	γναφεύς By variation for a derivative from κνάπτω knaptō (to tease cloth) κνάπτω (v. sub fin.), 1. card or comb wool, dress or full cloth (either with teasel or comb), ἱμάτια Dsc. 4.159; παρ’ ἐμοὶ πόκος οὐ κνάπτεται Xenocr. ap. D.L. 4.10. 2. of torture, ἐπ’ ἀσπαλάθων κνάπτοντες Pl. R. 616a (cf. κνάφος 11): generally, mangle, tear, μάστιγι Cratin. 275: - Pass., δίνᾳ κναπτόμενοι, of bodies mangled against rocks, A. Pers. 576 (lyr.); ἐκνάπτετ’ αἰέν, of Hector’s body, S. Aj. 1031, cf. Philostr. VA 6.40. 3. κ. γλῶσσαν, = συνέχειν ἐντὸς τῶν ὀδόντων, Com.Adesp. 1313 (= Trag.Adesp. 224). (Acc.Sch. Ar. Pl. 166, κνάπτω, κναφεύς, etc., were old Att., γνάπτω, γναφεύς, etc., later Att., confirmed by Inscrr.: forms in γν - are found in Ionic, Papyri, and later Gr., e.g. Dsc. l.c.; κνάμπτ - Pl.l.c. (as v.l.), Philostr.l.c.: cf. Welsh cnaif ’fleece’, Engl. nap (on cloth), Lett. knâbt ’pick’, ’peck’.)
G1103	G1103	γνήσι-ος, α, ον, (γένος) 1. belonging to the race, i. e. lawfully begotten, born in wedlock, νόθον καὶ γνήσιον Il. 11.102, cf. Od. 14.202, Hdt. 3.2, Leg.Gort. 10.41, Ar. Av. 1665, And. 1.127, D. 44.49, etc.; παίδων ἐπ’ ἀρότῳ γνησίων Men. Pk. 435; ἀδελφός Ar. Av. 1659; νόθος.. γνησίοις ἴσως σθένει S. Fr. 87; φρονοῦντα γνήσια E. Hipp. 309; γ. φρόνημα S. Fr. 307. 2. generally, genuine, legitimate, φίλος Phoc. 2 A; γ. γυναῖκες lawful wives, opp. παλλακίδες, X. Cyr. 4.3.1; πολῖται Arist. Pol. 1278a30, cf. 1319b9; γ. τῆς Ἑλλάδος true Greeks, D. 9.30; ἀκουστής D.H. Isoc. 18 (Sup.); μήτηρ τῶν ἐρωτικῶν λόγων, of Aphrodite, Luc. Am. 19; γ. ἀρεταί real, unfeigned virtues, Pi. O. 2.11; γ. ὕμνοι inspired song, B. 8.83; of fevers, γ. τριταῖος a genuine tertian, Hp. Prog. 24; γ. ὄξος genuine vinegar, Eub. 65; of writings, genuine, Gal. 15.748, Harp. s.v. Ἀλκιβιάδης. Adv. -ίως genuinely, truly, E. Alc. 678, Lys. 2.76, D. 3.32, etc.; γ. φέρειν bear nobly, Antiph. 281, Men. 205; lawfully, τοῖς γ. συμβιώσασιν Phld. Piet. 93. II γνήσια, τά, charges on land, γ. δημόσια PAmh. 86.15 (i A. D.), cf. PLond. 3.1157.4 (ii A. D.).
G1104	G1104	γνησίως Adverb from G1103
G1105	G1105	γνόφ-ος, later form for δνόφος, darkness, Chron.Lind. D. 28, Heb 12:18, D.Chr. 34.37 (pl.), Luc. Peregr. 43: pl., storm-clouds, Arist. Mu. 391b12.
G1106	G1106	γνώμ-η, ἡ, I means of knowing: hence, mark, token, Thgn. 60 (pl.); of the teeth (cf. γνώμων 111), Arist. HA 576b15. II organ by which one perceives or knows, intelligence, 1 thought, judgement (τῆς ψυχῆς ἡ γ. Pl. Lg. 672b), ἐκμαθεῖν ψυχήν τε καὶ φρόνημα καὶ γ. S. Ant. 176: acc. abs., γνώμην ἱκανός intelligent, Hdt. 3.4; γ. ἀγαθός, κακός, S. OT 687, Ph. 910; τοιάδε τὴν γ. Id. El. 1021; κατὰ γ. ἴδρις Id. OT 1087 (lyr.); γνώμᾳ διπλόαν θέτο βουλάν Pi. N. 10.89; γνώμῃ μαθεῖν τι S. OC 403; γνώμῃ κυρήσας Id. OT 398; γνώμῃ φρενῶν, opp. ὀργῇ, ib. 524; γνώμης ξύνεσις Th. 1.75; γνώμης μᾶλλον ἐφόδῳ ἢ ἰσχύος Id. 3.11; ταῖς γ. καὶ τοῖς σώμασι σφάλλεσθαι X. Cyr. 1.3.10, cf. Th. 1.70; γνώμῃ, opp. τύχῃ, σωφρονοῦντες Isoc. 3.47; γνώμης ἅπτεσθαι affect the head, of wine or fever, Hp. Acut. 63, Fract. 11; γνώμην ἔχειν understand, S. El. 214 (lyr.), Ar. Ach. 396; πάντων γ. ἴσχειν S. Ph. 837 (lyr.); προσέχειν γνώμην give heed, attend, δεῦρο τὴν γ. προσίσχετε Eup. 37; πρὸς ἕτερον γνώμην ἔχειν Aeschin. 3.192; to be on one’s guard, Th. 1.95; δηλοῦν τὴν γ. ἔν τινι to show one’s wit in.., Id. 3.37; ἐν γνώμῃ τι παραστῆσαι D. 4.17; ἀπὸ γνώμης φέρειν ψῆφον δικαίαν with a good conscience, A. Eu. 674; but οὐκ ἀπὸ γ. λέγεις not without judgement, with good sense, S. Tr. 389; ἄτερ γνώμης A. Pr. 456; ἄνευ γ. S. OC 594; γνώμῃ κολάζειν with good reason, X. An. 2.6.10; γνώμῃ τῇ ἀρίστῃ (sc. κρίνειν or δικάζειν) to the best of one’s judgement, in the dicasts’ oath, Arist. Rh. 1375a29; ἡ καλουμένη γ. τοῦ ἐπιεικοῦς κρίσις ὀρθή Id. EN 1143a19; so περὶ ὧν ἂν νόμοι μὴ ὦσι, γνώμῃ τῇ δικαιοτάτῃ κρινεῖν D. 20.118; γ. τῇ δ. δικάσειν ὀμωμόκασιν Id. 23.96, cf. 39.40; τῇ δ. γ. Arist. Pol. 1287a26; ὅστις γνώμῃ μὴ καθαρεύει has not a clear conscience, Ar. Ra. 355. 2. will, disposition, inclination, εὐσεβεῖ γνώμᾳ Pi. O. 3.41; γ. Διός A. Pr. 1003; ἐν γνώμῃ γεγονέναι τινί to stand high in his favour, Hdt. 6.37; πάσῃ τῇ γ. with all one’s zeal, Th. 6.45; τίνα αὐτοὺς οἴεσθε γ. ἕξειν περὶ σφῶν αὐτῶν And. 1.104; γ. ἔ. περί τινα Lys. 10.21; πρὸς τοὺς Ἀθηναίους τὴν γ. ἔχειν to be inclined towards.., Th. 5.44; ἐμπιμπλάναι τὴν γ. τινός satisfy his wishes, X. An. 1.7.8, cf. HG 6.1.15 (pl.); ἀφ’ ἑαυτοῦ γνώμης on his own initiative, Th. 4.68; ἐκ μιᾶς γ. of one accord, with one consent, D. 10.59; μιᾷ γνώμῃ Th. 1.122, 6.17; διὰ μιᾶς γ. γίγνεσθαι Isoc. 4.139; κατὰ γνώμην according to one’s mind or wishes, ὅταν τἀκεῖ θῶ κατὰ γνώμην ἐμήν E. Andr. 737; ἄν τι μὴ κατὰ γ. ἐκβῇ D. 1.16: in pl., φίλιαι γνῶμαι friendly sentiments, Hdt. 9.4. III judgement, opinion, βροτῶν γ. Parm. 8.61; ταύτῃ.. τῇ γνώμῃ πλεῖστός εἰμι 1 in cline mostly to this view, Hdt. 7.220 (s. v.l.); also ταύτῃ πλεῖστος τὴν γνώμην εἰμί Id. 1.120; ἡ πλείστη γ. ἐστί τινι Id. 5.126; τλέον φέρει ἡ γ. τινί Id. 8.100; τὸ πλεῖστον τῆς γ. εἶχεν.. προσμεῖξαι Th. 3.31; γνώμην τίθεσθαι Hdt. 3.80; οὕτως τὴν γ. ἔχειν to be of this opinion, Th. 7.15, cf. X. Cyr. 6.2.8, Ar. Nu. 157; εἴ τινι γ. τοιαύτη παρειστήκει περὶ ἐμοῦ And. 1.54; τὴν αὐτὴν γ. ἔχειν Th. 2.55; τῆς αὐτῆς γ. εἶναι, ἔχεσθαι, Id. 1.113, 140; ὁ αὐτὸς εἰμὶ τῇ γ. Id. 3.38; κατὰ γ. τὴν ἐμήν in my judgement or opinion, Hdt. 2.26, 5.3; ellipt., κατά γε τὴν ἐμήν Ar. Ec. 153, cf. Plb. 18.1.18, D.H. Isoc. 3: abs., γνώμην ἐμήν Ar. V. 983, Pax 232; παρὰ γνώμην τοῖς Ἕλλησιν ἐγένετο contrary to general opinion, Th. 4.40; but παρὰ γ. κινδυνευταί reckless venturers, Id. 1.70, cf. 4.19; εἰπὲ μὴ παρὰ γ. ἐμοί either contrary to my wish, or contrary to your true opinion, A. Ag. 931, cf. Supp. 454: freq. of opinions delivered publicly, ἑστάναι πρὸς τὴν γ. τινός Th. 4.56; Θεμιστοκλέους γνώμῃ by the advice of Th., Id. 1.90, 93; γνώμην ἀποφαίνειν deliver an opinion, Hdt. 1.40; ἀποδείκνυσθαι ib. 207; ἐκφαίνειν Id. 5.36; τίθεσθαι S. Ph. 1448 (anap.), Ar. Ec. 658; ἀποφαίνεσθαι E. Supp. 336; ποιεῖσθαι περί τινων Th. 3.36; γνώμας κατέθεντο have made up their minds, Parm. 8.53. verdict, ἡ τοῦ δικαστοῦ γ. IG 4.364 (Corinth, iv A. D.), cf. 685.32 (pl., Cret., ii B. C.). 2. proposition, motion, γνώμην εἰσφέρειν Hdt. 3.80, 81; εἰπεῖν Th. 8.68, etc.; (but γνώμας προτιθέναι hold a debate, Th. 3.36); γνῶμαι τρεῖς προεκέατο Hdt. 3.83: freq. in Inscrr., resolution, IG 12.118.28, etc.; γ. στρατηγῶν ib.22.27; Κλεισόφου καὶ συμπρυτάνεων ib.1; ἡ ἐκφερομένη γ. ib.1051c26; γνώμην νικᾶν carry a motion, Ar. V. 594, Nu. 432; κρατεῖν τῇ γ. Plu. Cor. 17. 3. γνῶμαι, αἱ, practical maxims, Heraclit. 78, S. Aj. 1091, X. Mem. 4.2.9, Arist. Rh. 1395a11 (sg., 1394a22). 4. in pl., fancies, illusions, S. Aj. 52. 5. intention, purpose, resolve, ἀπὸ τοιᾶσδε γνώμης with some such purpose as this, Th. 3.92; γνώμην ποιεῖ σθαι, c. inf., propose to do, Id. 1.128; κατὰ γνώμην of set purpose, D.H. 6.81 (so also γνώμης Lib. Or. 33.13, 50.12); τίνα ἔχουσα γνώμην; with what purpose? Hdt. 3.119; οἶδα δ’ οὐ γνώμῃ τίνι; with what intent? S. OT 527, cf. Aj. 448; ἡ ξύμπασα γ. τῶν λεχθέντων the general purport.., Th. 1.22; ἦν τοῦ τείχους ἡ γνώμη.., ἵνα.. the purpose of it was.., that.., Id. 8.90.
G1107	G1107	γνωρ-ίζω, fut. Att. -ῐῶ: pf. ἐγνώρικα Pl. Phdr. 262b: - I 1.make known, point out, A. Pr. 487, LXX 1Ki 10:8, al., Rom. 0.22: - in this sense mostly Pass., become known, Pl. R. 428a, Arist. APr. 64b35; τὰ γνωριζόμενα μέρη τῆς οἰκουμένης Plb. 2.37.4. 2. c. acc. pers., make known, τινά τινι Plu. Fab. 21; commend, τινὰ τῇ βουλῇ ἰσχυρῶς App. Mac. 9.6. 3. certify a person’s identity, BGU 581.13 (ii A. D.), POxy. 1024.18 (ii A. D.). II 1. gain knowledge of, become acquainted with, discover, c. part., τοὔργον ὡς οὐ γνωριοῖμί σου τόδε δόλῳ προσέρπον S. OT 538; τὰ καλὰ γ. οἱ εὐφυέες πρὸς αὐτά Democr. 56, cf. E. Alc. 564, Th. 7.44, Arist. Ph. 184a12: - Pass., Th. 5.103, Men. 72; γ. περί τι or περί τινος Arist. Metaph. 1005b8, 1037a16. 2. become acquainted with, τινά Pl. La. 181c, D. 35.6; τινὰς ὁποῖοί τινές εἰσι Isoc. 2.28: - Pass., ἐγνωρισμένοι αὐτῷ being made acquainted with him, ibid.; πρός τινος Luc. Tim. 5.
G1108	G1108	γνῶσις, εως, ἡ, I 1. seeking to know, inquiry, investigation, esp. judicial, τὰς τῶν δικαστηρίων γ. D. 18.224; τὴν κατὰ τοῦ διαιτητοῦ γ. Id. 21.92, cf. 7.9, Lycurg. 141; γ. περὶ τῆς δίκης PHib. 1.92.13 (iii B. C.). 2. result of investigation, decision, PPetr. 3p.118 (iii B. C.). II 1. knowing, knowledge, Heraclit. 56; opp. ἀγνωσίη, Hp. Vict. 1.23 (dub.); opp. ἄγνοια, Pl. R. 478c; ἡ αἴσθησις γ. τις Arist. GA 731a33: pl., Θεὸς γνώσεων κύριος LXX 1Ki 2:3. higher, esoteric knowledge, 1Co 8:7; 1Co 8:10, Eph 3:19, etc.; χαρισάμενος ἡμῖν νοῦν, λόγον, γνῶσιν PMag.Par. 2.290. 2. acquaintance with a person, πρός τινα Test. ap. Aeschin. 1.50; τῶν Σεβαστῶν IPE 1.47.6 (Olbia). 3. recognizing, Th. 7.44. 4. means of knowing, [ αἱ αἰσθήσεις] κυριώταται τῶν καθ’ ἕκαστα γ. Arist. Metaph. 981b11. III 1. being known, γνῶσιν ἔχει τι, = γνωστόν ἐστι, Pl. Tht. 206b. 2. fame, credit, Hdn. 7.5.5, Luc. Herod. 3. means of knowing: hence, statement in writing, PLond. 5.1708, etc. (vi A. D.). = γνῶμα, Hsch. s. h. v.
G1109	G1109	γνώστ-ης, ου, ὁ, I one that knows, τῶν ἐθῶν Act 26:3; τοῦ εὐαγγελίου Sammelb. 421.1 (iii A. D.): esp. one who knows the future, diviner, LXX 1Sa 28:3. II = cross γνωστήρ, surety, γ. τῆς πίστεως Plu. Flam. 4; expert witness or valuer, PLips. 106.10 (i A. D.).
G1110	G1110	γνωστός, ή, όν, collat. form of γνωτός (q. v.), I 1. known, A. Ch. 702, S. OT 361, Fr. 203, Pl. Tht. 205d, X. HG 2.3.44, etc.; γνωστόν, τό, common knowledge, τινός PAmh. 145.9 (iv/v A. D.). Adv. -τῶς clearly, LXX Pro 27:23, Eust. 1540.1. 2. knowable, Arist. Metaph. 1016b20, AP 0.64b37, etc.; γνωστὰ σαρκός bodily symptoms (of anger), Phld. Ir. p.24 W. II pl., as Subst., = γνώριμοι, notables, Sm. Pro 31:23; acquaintance, friend, Luk 2:44,al. III Act., knowing, dub. in LXX Gen 2:9 (γνωστικός ap. Ph. 1.37).
G1111	G1111	γογγύζω, Ion. (Phryn. 336) and later Gr. for Att. τονθορύζω, 1. mutter, murmur, grumble, ἐπί τινι LXX Num 14:29; cf. Num 17:5; κατά τινος Mat 20:11; περί τινος Joh 6:41, etc.: abs., PPetr. 3p.130 (iii B. C.), LXX Num 11:1, POxy. 33 iii 14 (ii A. D.), Arr. Epict. 1.29.55. 2. of doves, coo, Poll. 5.89. (Cf. Skt. ga[ndot ]gûyati ’utter cries of joy’.)
G1112	G1112	γογγ-υσμός, ὁ, murmuring, muttering, grumbling, Anaxandr. 31, M.Ant. 9.37, LXX Ex. 16.79, Act 6:1, Cat.Cod.Astr. 7.139.
G1113	G1113	γογγ-υστής, οῦ, ὁ, murmurer, mutterer, grumbler, Jud 1:16, Thd. Pro 26:20.
G1114	G1114	γόης, ητος, ὁ, 1. sorcerer, wizard, Phoronis 2, Hdt. 2.33, 4.105, Pl. R. 380d, Phld. Ir. p.29 W.; γ. ἐπῳδὸς Λυδίας ἀπὸ χθονός E. Ba. 234, cf. Hipp. 1038; prob. f.l. for βοῇσι Hdt. 7.191. 2. juggler, cheat, δεινὸς γ. καὶ φαρμακεὺς καὶ σοφιστής Pl. Smp. 203d; δεινὸν καὶ γ. καὶ σοφιστὴν.. ὀνομάζων D. 18.276; ἄπιστος γ. πονηρός Id. 19.109; μάγος καὶ γ. Aeschin. 3.137: Comp. γοητότερος Ach.Tat. 6.7 (s. v. l.). (Cf. Lith. þavçti ’incantare’.)
G1115	G1115	Γολγοθᾶ This entry is a name, title, city, people, river, land, or tribe and is not Defined by LSJ (Note: there are some exceptions they will have there definitions)
G1116	G1116	Γοìμοῤῥα This entry is a name, title, city, people, river, land, or tribe and is not Defined by LSJ (Note: there are some exceptions they will have there definitions)
G1117	G1117	γόμος, ὁ, (γέμω) I 1. ship’s freight, cargo, A. Supp. 444 (dub.), D. 32.4; πεντακισχιλίων ταλάντων γόμον ἔχειν to be of 5,000 talents burden, Hdt. 1.194. 2. beast’s load, Babr. 7.11, LXX Exo 23:5, al., PAmh. 2.138.11 (pl., iv A. D.); γ. καμηλικός OGI 629.87, al. (Palmyra, ii A. D.); γ. καρρικός ib.16. 3. guild of transport-agents in Nubia, CIG 4980, al. II γὁμος· ζωμός, Hsch.
G1118	G1118	γον-εύς, έως, ὁ, begetter, father, mostly in pl., parents, h.Cer. 240, Hes. Op. 235, Pi. P. 6.27, Pl. Smp. 178b, etc.: in sg., of a serpent, Hdt. 3.109; of a man, Pl. R. 457d; φράζε τίνος γονέως IG 12 (5).310: generally, progenitor, ancestor, πέμπτος γ. ancestor in the fifth generation, Hdt. 1.91, cf. Isa 8.32; οἱ ἄνωθεν γ. Arist. GA 722a8. (Nom. pl. γονεῖες Histria 7.27: acc. pl. γονέᾰς Antiph. 261: dat. pl. γονεῖσι SIG 1267.24 (Ios, iii A. D.).)
G1119	G1119	γόνῠ, τό, gen. γόνατος, and Ion. γούνατος (for γόνϝατος) Il. 21.591, Hdt. 2.80: pl. nom. γούνατα Il. 5.176, Hes. Op. 587, Hdt. 1.199, Schwyzer 694.7 (Chios, iv B. C.), gen. γουνάτων Hdt. 9.76, dat. γούνασι Il. 9.455, Hdt. 4.152 (also Pi. I. 2.26), γονάτεσσι Theoc. 16.11, Epigr.Gr. 782 (Halic.); also gen. γουνός (expl. as for γόνυος by Hdn.Gr.2.768, A.D. Synt. 342.9) Il. 11.547: pl. γοῦνα 6.511; γούνων 1.407, al.: dat. γούνεσσι 9.488, al. (v.l. γούνασσι): - Aeol. acc. pl. γόνα Alc. 39.7 (prob.), but γόννα acc. to St.Byz. s.v. Γόννοι, Eust. 335.39: gen. pl. γόνων Alc. Supp. 10: has γουνάτων Hec. 752, 839, γούνασι Supp. 285 (lyr.), Andr. 529 (lyr.), but not γουνός (γοῦν’ acc. pl. was read by Sch. in Ph. 852): gen. pl. γεύνων, Hsch.: - I 1. knee, γόνυ γουνὸς ἀμείβων Il. 11.547, etc.: freq. of clasping the knees in earnest supplication, ἥψατο γούνων 1.512; ἑλεῖν, λαβεῖν γούνων 21.71, 1.407, etc.; τῶν γουνάτων λαβέσθαι Hdt. 9.76; ποτὶ (v.l. περὶ) or ἀμφὶ γούνασί τινος χεῖρας βαλεῖν Od. 6.310, 7.142; περὶ γόνυ χέρας ἱκεσίους ἔβαλον E. Or. 1414, cf. Ph. 1622, etc.; τὰ σὰ γούναθ’ ἱκάνομαι Il. 18.457, cf. Od. 7.147, etc.; κιχανόμενοι τὰ σὰ γοῦνα ἱκόμεθ’ 9.266; ἀντίος ἤλυθε γούνων Il. 20.463; γόνυ σὸν ἀμπίσχειν χερί E. Supp. 165; σοῖς προστίθημι γόνασιν ὠλένας Id. Andr. 895; ἐς γούνατά τινι or τινος πεσεῖν Hdt. 5.86, S. OC 1607; ἀμφὶ γόνυ τινὸς πίπτειν E. Hec. 787; γόνυ τινός or πρὸς γόνυ προσπίπτειν ib. 339, HF 79; γόνασί τινος προσπίπτειν Id. Or. 1332 (but προσπίτνω σε γόνασιν on my knees, S. Ph. 485); πίπτειν πρὸς τὰ γ. τινος, tini, Lys. 1.19, D. 19.198; also γούνων λίσσεσθαι Il. 9.451; ἐλλιτανεύειν Od. 10.481; γουνάζεσθαι Il. 22.345; ἄντεσθαι πρὸς τῶν γονάτων E. Med. 710; ἱκετεῦσαι πρὸς τ. γ. D. 58.70. 2. of a sitting posture, φημί μιν ἀσπασίως γ. κάμψειν will be glad to bend the knee so as to sit down and rest, Il. 7.118, cf. 19.72; but also, bow the knee in submission, ἐμοὶ κάμψει (intr.) πᾶν γ. LXX Isa 45:23; γ. ὀκλάζειν τινί ib. 3 Ki. 19.18, v. sub κάμπτω: ἐπὶ γούνασι on one’s knees, ἐπὶ γούνασι πατρός Il. 22.500; ποτὶ γ. 5.408; γούνασιν ἐφέσσεσθαι φίλον υἱόν 9.455; σ’ ἐπ’ ἐμοῖσι.. γούνεσσι καθίσσας 9.488; τόν ῥά οἱ.. ἐπὶ γούνασι θῆκεν Od. 19.401; ἐν τοῖς γόνασί τινος στρέφεσθαι Pl. R. 617b; πέπλον.. θεῖναι Ἀθηναίης ἐπὶ γούνασιν to lay it on her lap (as an offering), Il. 6.92, cf. Schwyzer l.c.: hence metaph., θεῶν ἐν γούνασι κεῖται it rests in the lap of.., Il. 17.514, Od. 1.267, etc.; but ἐν γούνασιν πίτνοντα Νίκας victorious, Pi. I. 2.26. 3. of the knees as the seat of strength, ἐν δὲ βίην ὤμοισι καὶ ἐν γούνεσσιν ἔθηκε Il. 17.569; of swiftness, λαιψηρά γ. 22.204, etc.; γούνατά τινος λύειν disable, kill him, 5.176, etc.; ὑπὸ γούνατ’ ἔλυσεν 11.579; βλάπτειν γ. τινι, ka/matos d’ u(pog. e)da/mna, 7.271, 21.52: - Pass., αὐτοῦ λύτο γούνατα 21.114, etc. 4. metaph., ἐς γόνυ βάλλειν bring down upon the knee, i. e. humble, conquer, Hdt. 6.27; ἐς γ. ῥίπτειν, κλίνειν, App. BC 3.20, 30; ἐς γ. ἐλθεῖν Procop. Arc. 14, Pers. 1.17; Ἀσία δὲ χθὼν.. ἐπὶ γόνυ κέκλιται A. Pers. 931 (lyr.). 5. prov., ἀπωτέρω ἢ γόνυ κνάμα ’blood is thicker than water’, ’charity begins at home’, Theoc. 16.18; γ. κνήμης ἔγγιον Arist. EN 1168b8, Ath. 9.383b. II joint of grasses or plants, Hdt. 3.98, X. An. 4.5.26, Thphr. HP 8.2.4, Porph. Antr. 19. (Cf. Skt. jâ´nu, Lat. genu, etc.)
G1120	G1120	γονυπετεìω γονῠ-πετέω, 1. fall on the knee, Plb. 15.29.9, etc. 2. fall down before one, τινά Mat 17:14, cf. Mar 1:40: abs., Corn. ND 12.
G1121	G1121	γράμμα, ατος, τό, Dor. γράθμα, prob. in IG 4.506 (Heraeum, vi/v B. C.), cf. An.Ox. 1.102, but γράσσμα, IG 4.554 (Argos, v B. C.): late Aeol. pl. γρόππατα, Epigr.Gr. 990.11 (Balbilla): (γράφω): - I that which is drawn: pl., lines of a drawing, picture, etc., E. Ion 1146 (of tapestry), Theoc. 15.81; picture, Ἀπέλλεω γ. Herod. 4.73, cf. AP 6.352 (Erinna): sg., drawing, picture, Pl. R. 472d, Cra. 430e, cf. 431c: pl., figures in a picture, Procop.Gaz. Ecphr. p.157B. II written character, letter, Hdt. 1.139, 148, etc.: in pl., letters, characters, γραμμάτων τε συνθέσεις A. Pr. 460; πηλίκοις γ. Gal 6:11; the letters, the alphabet, Hdt. 5.58; τὰ γ. καὶ τὰς συλλαβάς Pl. Cra. 390e; γ. Φοινίκια S. Fr. 514; Ἀσσύρια, Ἑλληνικά, Hdt. 4.87; γράμματα ἐπίστασθαι Pl. Lg. 689d; μαθεῖν to have learnt to read, Id. Prt. 325e; γ. μὴ εἰδέναι SIG 2844.6; ἐδίδασκες γράμματα, ἐγὼ δ’ ἐφοίτων you kept school - I went there, D. 18.265; ἤτοι τέθνηκεν ἢ διδάσκει γ. Com.Adesp. 20; παιδεύειν γράμματα Arist. Pol. 1337b24; τέχνη ἡμῶν γ. our profession is that of the scribe, PTeb. 316.16 (i A. D.). articulate sound, letter, Pl. Phlb. 18c; τὰ γ. πάθη ἐστὶ τῆς φωνῆς Arist. Pr. 895a12; γράμματα φθέγγεσθαι ib. 8, cf. PA 660a5. παρὰ γράμμα λέγοντα.. σκοπεῖν etymologically, Id. MM 1185b39; τὰ παρὰ γ. σκώμματα puns, Id. Rh. 1412a28; but ἀρετὴν παρὰ γ. διώκοντες, with ref. to Νικαρέτη, the mistress of Stilpo, Crates Theb. 1. inscription, τὸ Δελφικὸν γ. Pl. Phdr. 229e, cf. Chrm. 164d, X. Mem. 4.2.24, etc., IG 2.2876, al.: prov., εἰς πέλαγος.. γράμματα γράψαι Epigr.Gr. 1038.8 (Attalia). 2. in pl., notes in music, AP 11.78 (Lucill.). 3. mathematical diagram, Epigr. ap. D.L. 8.12. 4. letter inscribed on the lots which the δικασταί drew, Ar. Pl. 277, al., Arist. Ath. 64.4; practically, = division of dicasts, ἐν ὁποίῳ γ. δειπνεῖ Ar. Ec. 683; ἁ κατὰ γράμμα φυλακά the roster of guards, SIG 569.21 (Cos, iii B. C.). quarters of a town, PRein. 49.2; accent, EM 240.42, Zonar. 5. a small weight, 1 / 24 ounce, scruple, Androm. ap. Gal. 13.114, Gp. 7.13.2, PLips. 62 ii 27 (iv A. D.). III in pl., 1. set of written characters, piece of writing, Hdt. 1.124: hence, letter, Id. 5.14, IG 22.103.8, etc.; γραμμάτων πτυχαί S. Fr. 144, cf. E. IT 594, al., Pl. 347c; inscription, epitaph, etc., ἐκόλαψε ἐς τὸν τάφον γράμματα λέγοντα τάδε Hdt. 1.187, cf. 4.91, And. 3.12, Theoc. 18.47, IG 3.751. 2. papers, documents, Antipho 1.30, D. 36.21, etc. (sg., D.Chr. 65.14); τούτων τὰ γ. the documents to prove this, Lys. 32.14; τὰ γ. τῆς δίκης Ar. Nu. 772; τὰ δημόσια γ. the public records, Decr. ap. D. 18.55; title-deeds, D.C. 65.14; account of loans, D. 49.59; ἐπικαρπίαν ἐν γράμμασιν ἀποφέρειν Pl. Lg. 955d; contract or estimate, BCH 46.323 (Teos); catalogue, X. Cyr. 7.4.12: in sg., bond, Luk 16:7; note of hand, J. AJ 18.6.3. 3. a man’s writings, i.e. book, treatise, τὰ τοῦ Ζήνωνος γ. Pl. Prm. 127c (but sg., ib. 128a): pl., books, X. Mem. 4.2.1; Πλάτωνος τὸ περὶ ψυχῆς γ. Call. Epigr. 25, cf. AP 9.63 (Ascl), Gal. 18(2).928; τὰ ἱερὰ γ. the Holy Scriptures, OGI 56.36 (iii B. C.), Ph. 2.574, 2Ti 3:15, J. Rev 1:10; ἱερὰ γ., = Imperial rescripts, IG 12(5).132 (Paros, iii A. D.); = hieroglyphics, OGI 90.54 (Rosetta, ii B. C.): in sg., the Law of Moses, Rom 2:27, al.; opp. πνεῦμα, ib.29: sg., article of a treaty, Th. 5.29. 4. laws or rules, Pl. R. 425b, Plt. 292a, al., Ar. Ec. 1050; κατὰ γράμματα ἄρχειν, opp. ἄνευ γραμμάτων, Pl. Plt. 293a; ἡ κατὰ γ. καὶ νόμους πολιτεία Arist. Pol. 1286a15, cf. 1272a38: οἱ κατὰ γ. νόμοι, opp. οἱ κατὰ τὰ ἔθη, ib. 1287b5, cf. Pl. Plt. 299d; κατὰ γράμματα ἰατρεύεσθαι Arist. Pol. 1287a34; ἡ ἐκ τῶν γ. θεραπεία ib. 40. in pl., also, letters, learning, ἀπείρους γραμμάτων Pl. Ap. 26d, etc.
G1122	G1122	γραμμᾰτ-εύς, έως, ὁ, 1. secretary, registrar, title of officials at Athens and elsewhere, IG 12.15, etc.; ὁ γ. ὁ τῆς πόλεως Th. 7.10; γ. τοῦ δήμου OGI 493.10 (Ephesus, ii A. D.), Act 19:35; γ. ἀνδραπόδων PHib. 29.7; γ. τῶν μαχίμων UPZ 110.145 (ii B. C.); γ. τοῦ θεοῦ IG 9(2).1109.21 (Magn. Thess.); also of subordinate officials, clerk, sts. a term of contempt, ὄλεθρος γ. D. 18.127; θεοῖς ἐχθρὸς καὶ γ. Id. 19.95; ἡ γ., in joke, Ar. Th. 432. 2. metaph., recorder, of memory, Pl. Phlb. 39a. 3. scholar, γ. σαφής A. Fr. 358 (s. v. l.). 4. one who traces or marks out, of Egyptian embalmers, D.S. 1.91.
G1123	G1123	γραπτ-ός, ή, όν, I 1. painted, ζῷα Emp. 128.5; τύποι E. Fr. 764; κύρβις Achae. 19; εἰκών SIG 1068.21 (Patmos): γραπτά, τά, paintings, opp. γλυπτά, D.H. Comp. 25. 2. marked as with letters, ἁ γραπτὰ ὑάκινθος Theoc. 10.28; γ. λίθος IG 14.1089. II written, νόμοι γ. Gorg. Pal. 30, cf. Pl. Lg. 773e, etc.; ἀσφάλεια PAmh. 78.17 (ii A. D.): γραπτά, τά, rescripts, proclamations, LXX 2Ma 11:15 ; legal documents, bonds, Man. 3.214.
