Karoli_igehely	Heber_vers	Latin_vers	Gorog_LXX_vers	Elteres_tipusa	Karoli_egyezik_hol
Zsolt 104:5	Psa.104:5	Psa.103:5	Psa.103:5	Renumber	Heber
Zsolt 104:6	Psa.104:6	Psa.103:6	Psa.103:6	Renumber	Heber
Zsolt 104:7	Psa.104:7	Psa.103:7	Psa.103:7	Renumber	Heber
Zsolt 104:8	Psa.104:8	Psa.103:8	Psa.103:8	Renumber	Heber
Zsolt 104:9	Psa.104:9	Psa.103:9	Psa.103:9	Renumber	Heber
Zsolt 105:1	Psa.105:1	Psa.104:1	Psa.104:1	Renumber	Heber
Zsolt 105:10	Psa.105:10	Psa.104:10	Psa.104:10	Renumber	Heber
Zsolt 105:11	Psa.105:11	Psa.104:11	Psa.104:11	Renumber	Heber
Zsolt 105:12	Psa.105:12	Psa.104:12	Psa.104:12	Renumber	Heber
Zsolt 105:13	Psa.105:13	Psa.104:13	Psa.104:13	Renumber	Heber
Zsolt 105:14	Psa.105:14	Psa.104:14	Psa.104:14	Renumber	Heber
Zsolt 105:15	Psa.105:15	Psa.104:15	Psa.104:15	Renumber	Heber
Zsolt 105:16	Psa.105:16	Psa.104:16	Psa.104:16	Renumber	Heber
Zsolt 105:17	Psa.105:17	Psa.104:17	Psa.104:17	Renumber	Heber
Zsolt 105:18	Psa.105:18	Psa.104:18	Psa.104:18	Renumber	Heber
Zsolt 105:19	Psa.105:19	Psa.104:19	Psa.104:19	Renumber	Heber
Zsolt 105:2	Psa.105:2	Psa.104:2	Psa.104:2	Renumber	Heber
Zsolt 105:20	Psa.105:20	Psa.104:20	Psa.104:20	Renumber	Heber
Zsolt 105:21	Psa.105:21	Psa.104:21	Psa.104:21	Renumber	Heber
Zsolt 105:22	Psa.105:22	Psa.104:22	Psa.104:22	Renumber	Heber
Zsolt 105:23	Psa.105:23	Psa.104:23	Psa.104:23	Renumber	Heber
Zsolt 105:24	Psa.105:24	Psa.104:24	Psa.104:24	Renumber	Heber
Zsolt 105:25	Psa.105:25	Psa.104:25	Psa.104:25	Renumber	Heber
Zsolt 105:26	Psa.105:26	Psa.104:26	Psa.104:26	Renumber	Heber
Zsolt 105:27	Psa.105:27	Psa.104:27	Psa.104:27	Renumber	Heber
Zsolt 105:28	Psa.105:28	Psa.104:28	Psa.104:28	Renumber	Heber
Zsolt 105:29	Psa.105:29	Psa.104:29	Psa.104:29	Renumber	Heber
Zsolt 105:3	Psa.105:3	Psa.104:3	Psa.104:3	Renumber	Heber
Zsolt 105:30	Psa.105:30	Psa.104:30	Psa.104:30	Renumber	Heber
Zsolt 105:31	Psa.105:31	Psa.104:31	Psa.104:31	Renumber	Heber
Zsolt 105:32	Psa.105:32	Psa.104:32	Psa.104:32	Renumber	Heber
