Strong_padded	Strong_eredeti	Teljes_szocikk
G0037	G37	ἁγιάζω (hagiázō｜hag-ee-ad'-zo｜verb｜to make holy) [Grk] ἁγιάζω, ἀνασῴζω LN: 53.44, 88.26, 88.27 GK: G39 Hebrew: בָּרַר, כָּפַר, מִקְדָּשׁ, נָזִיר, נָזַר, קָדֹושׁ, קָדַשׁ, קֹדֶשׁ Derivation: from ἅγιος; Strong's: to make holy, i.e. (ceremonially) purify or consecrate; (mentally) to venerate KJV: --hallow, be holy, sanctify. See: ἅγιος
G0038	G38	ἁγιασμός (hagiasmós｜hag-ee-as-mos'｜noun｜sanctification) [Grk] ἁγιασμός LN: 53.44 GK: G40 Hebrew: מִקְדָּשׁ, מַרְגֹּועַ, נָזִיר, קָדַשׁ, קֹדֶשׁ Derivation: from ἁγιάζω; Strong's: properly, purification, i.e. (the state) purity; concretely (by Hebraism) a purifier KJV: --holiness, sanctification. See: ἁγιάζω
G0039	G39	ἅγιον (hágion｜hag'-ee-on｜adjective｜holy; sanctuary) [Grk] ἅγιον, ἅγιος LN: 7.18, 7.35, 11.27, 88.24 GK: G38, G40, G41 Hebrew: אֱלֹוהַּ, אָרֹון, בַּד, בָּרַר, גָּדֹול, זְבוּל, טָהֹור, טֹוב, יַתִּיר, מִקְדָּשׁ, מָקֹום, נָזִיר, נֶזֶר, צָבָא, צוּר, צָפַן, קָדֹושׁ, קַדִּישׁ, קָדַשׁ, קֹדֶשׁ, שָׂגַב Derivation: neuter of ἅγιος; Strong's: a sacred thing (i.e. spot) KJV: --holiest (of all), holy place, sanctuary. See: ἅγιος
G0040	G40	ἅγιος (hágios｜hag'-ee-os｜adjective｜holy) [Grk] ἅγιος, ἀγνοέω LN: 7.18, 11.27, 53.46, 88.24 GK: G41 Hebrew: קֹדֶשׁ Derivation: from ἅγος (an awful thing) (compare ἁγνός, θάλπω); Strong's: sacred (physically, pure, morally blameless or religious, ceremonially, consecrated) KJV: --(most) holy (one, thing), saint. See: ἁγνός See: θάλπω
G0041	G41	ἁγιότης (hagiótēs｜hag-ee-ot'-ace｜noun｜holiness) [Grk] ἁγιότης LN: 88.25 GK: G42 Derivation: from ἅγιος; Strong's: sanctity (i.e. properly, the state) KJV: --holiness. See: ἅγιος
G0042	G42	ἁγιωσύνη (hagiōsýnē｜hag-ee-o-soo'-nay｜noun｜holiness) [Grk] ἁγιωσύνη LN: 53.45, 88.25 GK: G43 Hebrew: הֹוד, עֹז, קֹדֶשׁ Derivation: from ἅγιος; Strong's: sacredness (i.e. properly, the quality) KJV: --holiness. See: ἅγιος
G0043	G43	ἀγκάλη (ankálē｜ang-kal'-ay｜noun｜arm) [Grk] ἀγκάλη LN: 8.28 GK: G44 Hebrew: חֵיק, עָצֵל Derivation: from ἄγκος (a bend, "ache"); Strong's: an arm (as curved) KJV: --arm.
G0044	G44	ἄγκιστρον (ánkistron｜ang'-kis-tron｜noun｜fishhook) [Grk] ἄγκιστρον LN: 6.10 GK: G45 Hebrew: חָח, חָכָה, חֵרֶם Derivation: from the same as ἀγκάλη; Strong's: a hook (as bent) KJV: --hook. See: ἀγκάλη
G0045	G45	ἄγκυρα (ánkyra｜ang'-koo-rah｜noun｜anchor) [Grk] ἄγκυρα LN: 6.48 GK: G46 Derivation: from the same as ἀγκάλη; Strong's: an "anchor" (as crooked) KJV: --anchor. See: ἀγκάλη
G0046	G46	ἄγναφος (ágnaphos｜ag'-naf-os｜adjective｜new) [Grk] ἄγναφος LN: 48.8 GK: G47 Derivation: from Α (as a negative particle) and the same as γναφεύς; Strong's: properly, unfulled, i.e. (by implication) new (cloth) KJV: --new. See: Α See: γναφεύς
G0047	G47	ἁγνεία (hagneía｜hag-ni'-ah｜noun｜purity) [Grk] ἁγνεία LN: 88.29 GK: G48 Hebrew: טׇהֳרָה, נָזִיר, נֶזֶר Derivation: from ἁγνός; Strong's: cleanliness (the quality), i.e. (specially) chastity KJV: --purity. See: ἁγνός
G0048	G48	ἁγνίζω (hagnízō｜hag-nid'-zo｜verb｜to purify) [Grk] ἁγνίζω LN: 53.30, 88.30 GK: G49 Hebrew: חָטָא, טָהֵר, נָזַר, קָדַשׁ, קֹדֶשׁ Derivation: from ἁγνός; Strong's: to make clean, i.e. (figuratively) sanctify (ceremonially or morally) KJV: --purify (self). See: ἁγνός
