motivum	igehely	lxx_igehely	heber_kulcsszo	gorog_megfelelo	egyezes	forras
TEREMT-001	Zsolt 71:20	Zsolt(LXX) 70:20	תְּהֹמ֥וֹת (te.ho.Mot)	ἀβύσσων (ἄβυσσος, abussos G0012)	egyező	LXX_OS
TEREMT-001	Zsolt 77:17	Zsolt(LXX) 76:17	תְהֹמֽוֹת (te.ho.Mot)	ἄβυσσοι (ἄβυσσος, abussos G0012)	egyező	LXX_OS
TEREMT-001	Zsolt 78:15	Zsolt(LXX) 77:15	תְהֹמ֥וֹת (t.ho.Mot)	ἀβύσσῳ (ἄβυσσος, abussos G0012)	egyező	LXX_OS
TEREMT-001	Zsolt 104:6	Zsolt(LXX) 103:6	תְּ֭הוֹם (Te.hom)	ἄβυσσος (ἄβυσσος, abussos G0012)	egyező	LXX_OS
TEREMT-001	Zsolt 106:9	Zsolt(LXX) 105:9	תְּהֹמ֗וֹת (te.ho.Mot)	ἀβύσσῳ (ἄβυσσος, abussos G0012)	egyező	LXX_OS
TEREMT-001	Zsolt 107:26	Zsolt(LXX) 106:26	תְהוֹמ֑וֹת (te.ho.Mot)	ἀβύσσων (ἄβυσσος, abussos G0012)	egyező	LXX_OS
TEREMT-001	Zsolt 135:6	Zsolt(LXX) 134:6	תְּהוֹמֽוֹת (te.ho.Mot)	ἀβύσσοις (ἄβυσσος, abussos G0012)	egyező	LXX_OS
TEREMT-001	Zsolt 148:7	Zsolt 148:7	תְּהֹמֽוֹת (te.ho.Mot)	ἄβυσσοι (ἄβυσσος, abussos G0012)	egyező	LXX_OS
TEREMT-001	Péld 3:20	Péld 3:20	תְּהוֹמ֣וֹת (te.ho.Mot)	ἄβυσσοι (ἄβυσσος, abussos G0012)	egyező	LXX_OS
TEREMT-001	Péld 8:24	Péld 8:24	תְּהֹמ֥וֹת (te.ho.Mot)	ἀβύσσους (ἄβυσσος, abussos G0012)	egyező	LXX_OS
TEREMT-001	Ézs 51:10	Ézs 51:10	תְּה֣וֹם (te.Hom)	ἀβύσσου (ἄβυσσος, abussos G0012)	egyező	LXX_OS
TEREMT-001	Ez 26:19	Ez 26:19	תְּה֔וֹם (te.Hom)	ἄβυσσον (ἄβυσσος, abussos G0012)	egyező	LXX_OS
TEREMT-001	Ez 31:4	Ez 31:4	תְּה֖וֹם (te.Hom)	ἄβυσσος (ἄβυσσος, abussos G0012)	egyező	LXX_OS
TEREMT-001	Ez 31:15	Ez 31:15	תְּה֔וֹם (te.Hom)	ἄβυσσος (ἄβυσσος, abussos G0012)	egyező	LXX_OS
TEREMT-001	Ámós 7:4	Ámós 7:4	תְּה֣וֹם (te.Hom)	ἄβυσσον (ἄβυσσος, abussos G0012)	egyező	LXX_OS
TEREMT-001	Hab 3:10	Hab 3:10	תְּהוֹם֙ (te.hOm)	ἄβυσσος (ἄβυσσος, abussos G0012)	egyező	LXX_OS
