strong	csoport	modell	darab	forras	bemenet_token	kimenet_token	koltseg_usd	koltseg_forras	futo_osszeg_usd
G4151	E	google/gemini-3.1-flash-lite	10	halozat	2388	428	0.001239	openrouter	0.762112
G4151	E	google/gemini-3.1-flash-lite	11	halozat	3409	1640	0.003312	openrouter	0.765424
G4151	E	qwen/qwen3.7-flash	0	halozat	2048	83	7.2e-05	openrouter	0.765496
G4151	E	qwen/qwen3.7-flash	1	halozat	2301	403	0.000121	openrouter	0.765618
G4151	E	qwen/qwen3.7-flash	2	halozat	3691	1958	0.000365	openrouter	0.765983
G4151	E	qwen/qwen3.7-flash	3	halozat	2959	1153	0.000239	openrouter	0.766222
G4151	E	qwen/qwen3.7-flash	4	halozat	2150	255	9.8e-05	openrouter	0.766319
G4151	E	qwen/qwen3.7-flash	5	halozat	4115	2422	0.000438	openrouter	0.766758
G4151	E	qwen/qwen3.7-flash	6	halozat	3650	1980	0.000367	openrouter	0.767125
G4151	E	qwen/qwen3.7-flash	7	halozat	3709	2023	0.000374	openrouter	0.767499
G4151	E	qwen/qwen3.7-flash	8	halozat	2077	116	7.7e-05	openrouter	0.767576
G4151	E	qwen/qwen3.7-flash	9	halozat	2175	239	9.6e-05	openrouter	0.767673
G4151	E	qwen/qwen3.7-flash	10	halozat	2326	434	0.000126	openrouter	0.767799
G4151	E	qwen/qwen3.7-flash	11	halozat	3460	1690	0.000324	openrouter	0.768122
G5010	E	deepseek/deepseek-v4-flash	0	cache	2258	500	0.000286	openrouter	0.768409
G5010	E	google/gemini-3.8-flash	0	cache	2385	3199	0.013785	openrouter	0.782194
G5010	E	anthropic/claude-haiku-4.5	0	cache	2772	558	0.005562	openrouter	0.787756
G5010	E	openai/gpt-4o-mini	0	halozat	2261	448	0.000483	openrouter	0.788239
G5010	E	google/gemini-3.1-flash-lite	0	halozat	2385	482	0.001319	openrouter	0.789558
G5010	E	qwen/qwen3.7-flash	0	halozat	2316	487	0.000133	openrouter	0.789691
G5351	E	deepseek/deepseek-v4-flash	0	cache	2383	683	0.000375	openrouter	0.790066
G5351	E	google/gemini-3.8-flash	0	cache	2511	2825	0.012477	openrouter	0.802543
G5351	E	anthropic/claude-haiku-4.5	0	cache	2926	758	0.006716	openrouter	0.809259
G5351	E	openai/gpt-4o-mini	0	halozat	2395	471	0.000517	openrouter	0.809776
G5351	E	google/gemini-3.1-flash-lite	0	halozat	2511	666	0.001627	openrouter	0.811402
G5351	E	qwen/qwen3.7-flash	0	halozat	2453	658	0.000159	openrouter	0.811562
G5356	E	deepseek/deepseek-v4-flash	0	cache	2256	533	0.000298	openrouter	0.81186
G5356	E	google/gemini-3.8-flash	0	cache	2392	3316	0.014229	openrouter	0.826089
G5356	E	anthropic/claude-haiku-4.5	0	cache	2747	560	0.005547	openrouter	0.831636
G5356	E	openai/gpt-4o-mini	0	halozat	2271	467	0.000496	openrouter	0.832132
G5356	E	google/gemini-3.1-flash-lite	0	halozat	2392	535	0.001401	openrouter	0.833532
G5356	E	qwen/qwen3.7-flash	0	halozat	2324	509	0.000136	openrouter	0.833668
G5590	E	deepseek/deepseek-v4-flash	0	cache	2024	115	9.2e-05	openrouter	0.83376
G5590	E	deepseek/deepseek-v4-flash	1	cache	3082	1372	0.000732	openrouter	0.834492
G5590	E	deepseek/deepseek-v4-flash	2	cache	3414	1775	0.000935	openrouter	0.835427
G5590	E	google/gemini-3.8-flash	0	cache	2140	911	0.005021	openrouter	0.840448
G5590	E	google/gemini-3.8-flash	1	cache	3284	8200	0.033213	openrouter	0.873661
G5590	E	google/gemini-3.8-flash	2	cache	3562	5638	0.023814	openrouter	0.897475
G5590	E	anthropic/claude-haiku-4.5	0	cache	2468	119	0.003063	openrouter	0.900538
G5590	E	anthropic/claude-haiku-4.5	1	cache	3719	1568	0.011559	openrouter	0.912097
G5590	E	anthropic/claude-haiku-4.5	2	cache	4257	2121	0.014862	openrouter	0.926959
G5590	E	openai/gpt-4o-mini	0	halozat	2023	26	0.000194	openrouter	0.927154
G5590	E	openai/gpt-4o-mini	1	halozat	3086	1359	0.001154	openrouter	0.928307
G5590	E	openai/gpt-4o-mini	2	halozat	3462	1689	0.001408	openrouter	0.929715
G5590	E	google/gemini-3.1-flash-lite	0	halozat	2140	105	0.000692	openrouter	0.930408
G5590	E	google/gemini-3.1-flash-lite	1	halozat	3284	1415	0.002943	openrouter	0.933351
G5590	E	google/gemini-3.1-flash-lite	2	halozat	3562	1710	0.003455	openrouter	0.936807
G5590	E	qwen/qwen3.7-flash	0	halozat	2062	101	7.5e-05	openrouter	0.936881
G5590	E	qwen/qwen3.7-flash	1	halozat	3257	1438	0.000285	openrouter	0.937166
G5590	E	qwen/qwen3.7-flash	2	halozat	3614	1843	0.000348	openrouter	0.937514
