# T1.1 munkalap (TEREMT002_KUTATAS_BRIEF.md) -- adat/auditok.tsv alakjában, betöltés a T1.3-ban. Sema: adat/SEMA.md 2.9
id	lepes	proveniencia	datum
TEREMT-002	A5	scope=range:Ézs 49:4 | forras=Karoli_1908.tsv+Karoli_kereszthivatkozasok.tsv | n=0 | ts=2026-09-25T11:03Z	2026.09.25
TEREMT-002	A5	scope=range:Ézs 59:4 | forras=Karoli_1908.tsv+Karoli_kereszthivatkozasok.tsv | n=3 | ts=2026-09-25T11:03Z	2026.09.25
TEREMT-002	B4	scope=range:Zsolt 104:30 | forras=LXX_kivonat_Zsoltarok.tsv+TAGNT_kivonat.tsv | n=12 | ts=2026-09-25T11:03Z	2026.09.25
TEREMT-002	A5	scope=range:Zsolt 104:30 | forras=TSK_kereszthivatkozasok.tsv | n=13 | ts=2026-09-25T11:03Z	2026.09.25
TEREMT-002	A5	scope=range:Zsolt 104:30 | forras=Karoli_1908.tsv+Karoli_kereszthivatkozasok.tsv | n=1 | ts=2026-09-25T11:03Z	2026.09.25
TEREMT-002	B4	scope=range:Zsolt 33:6 | forras=LXX_kivonat_Zsoltarok.tsv+TAGNT_kivonat.tsv | n=17 | ts=2026-09-25T11:03Z	2026.09.25
TEREMT-002	A5	scope=range:Zsolt 33:6 | forras=TSK_kereszthivatkozasok.tsv | n=19 | ts=2026-09-25T11:03Z	2026.09.25
TEREMT-002	A5	scope=range:Zsolt 33:6 | forras=Karoli_1908.tsv+Karoli_kereszthivatkozasok.tsv | n=2 | ts=2026-09-25T11:03Z	2026.09.25
TEREMT-002	B4	scope=range:Ézs 40:12 | forras=LXX_kivonat_Ezsaias.tsv+TAGNT_kivonat.tsv | n=24 | ts=2026-09-25T11:03Z	2026.09.25
TEREMT-002	A5	scope=range:Ézs 40:12 | forras=TSK_kereszthivatkozasok.tsv | n=16 | ts=2026-09-25T11:03Z	2026.09.25
TEREMT-002	A5	scope=range:Ézs 40:12 | forras=Karoli_1908.tsv+Karoli_kereszthivatkozasok.tsv | n=3 | ts=2026-09-25T11:03Z	2026.09.25
