# T1.1: lekérdezés-találatok, amelyek NEM jelöltek (a nem-mag versek TSK/Károli-KH célpontjai, igealak, mező-kollokáció). Jelöltté léptetésük gate-kérdés (T1_TEREMT002_gate.md).
igehely	forras_kereses
Ézs 23:1	TSK Ézs 24:10 (Votes=2)
Ézs 23:8	TSK Zsolt 107:40 (Votes=4); TSK Jel 18:23 (Votes=9)
Ézs 23:9	TSK Zsolt 107:40 (Votes=4); TSK Ézs 40:23 (Votes=2)
Ézs 24:1	TSK Náh 2:10 (Votes=3); TSK Ézs 24:19 (Votes=3); igealak H1238
Ézs 24:12	TSK Ézs 24:10 (Votes=2)
Ézs 24:20	TSK Mk 13:24 (Votes=1)
Ézs 24:21	TSK Ézs 40:23 (Votes=2); TSK Ézs 13:10 (Votes=2)
Ézs 24:22	TSK Ézs 40:23 (Votes=2)
Ézs 24:3	igealak H1238
Ézs 24:5	TSK Ézs 24:19 (Votes=3)
Ézs 25:2	TSK Ézs 24:10 (Votes=2); TSK Ézs 13:22 (Votes=3)
Ézs 25:6	TSK Ez 34:12-16 (Votes=3)
Ézs 27:10	TSK Ézs 24:10 (Votes=2); TSK Ez 34:12-16 (Votes=2)
Ézs 28:17	TSK 2Kir 21:13 (Votes=3); TSK Sir 2:8 (Votes=2)
Ézs 29:10	TSK Ámós 8:9 (Votes=3)
Ézs 29:7	TSK Ézs 40:17 (Votes=5)
Ézs 29:9	TSK Ámós 8:9 (Votes=3)
Ézs 2:12	TSK ApCsel 2:20 (Votes=4)
Ézs 2:17	TSK Jer 9:15 (Votes=2)
Ézs 2:20	TSK Ézs 44:9 (Votes=4)
Ézs 2:21	TSK Ézs 44:9 (Votes=4); TSK ApCsel 2:20 (Votes=4)
Ézs 2:22	TSK Jer 9:15 (Votes=2)
Ézs 30:12	TSK Ézs 59:4 (Votes=4)
Ézs 30:15	TSK Zsolt 80:6-7 (Votes=2)
Ézs 30:23	TSK Ez 34:12-16 (Votes=3)
Ézs 30:24	TSK Ez 34:12-16 (Votes=3)
Ézs 30:26	TSK Ézs 24:23 (Votes=3); Károli-KH (forrás-vers: Ézs 24:23)
Ézs 32:14	TSK Ézs 24:10 (Votes=2); TSK Zsolt 104:30 (Votes=5)
Ézs 32:15	TSK Zsolt 104:30 (Votes=5)
Ézs 32:7	TSK Ézs 29:21 (Votes=2)
Ézs 33:16	TSK Jóel 3:16 (Votes=4)
Ézs 33:21	TSK Jóel 3:16 (Votes=2)
Ézs 34:10	TSK Náh 2:10 (Votes=2); TSK Ézs 24:19 (Votes=4); TSK Mal 1:4 (Votes=3); TSK Ézs 13:20 (Votes=2)
Ézs 34:12	TSK Ézs 40:23 (Votes=4)
Ézs 34:13	TSK Ézs 24:10 (Votes=2); TSK Ézs 13:22 (Votes=2); Károli-KH (forrás-vers: Ézs 13:20)
Ézs 34:13-14	Károli-KH (forrás-vers: Jel 18:2)
Ézs 34:14	TSK Mal 1:3 (Votes=2)
Ézs 34:15	TSK Ézs 24:10 (Votes=2); TSK Náh 2:10 (Votes=2); TSK Jel 18:2 (Votes=3); TSK Ézs 14:23 (Votes=4); TSK Ézs 13:20 (Votes=2)
Ézs 34:17	TSK Sof 2:14 (Votes=3)
Ézs 34:4	TSK Mt 24:29 (Votes=9); TSK Mk 13:25 (Votes=3); TSK Ez 32:7 (Votes=5); TSK Jóel 2:10 (Votes=1); TSK Jóel 2:31 (Votes=3); TSK Mt 24:35 (Votes=63); TSK Ézs 24:19 (Votes=4); Károli-KH (forrás-vers: Ézs 13:10)
Ézs 34:5	TSK Jóel 2:31 (Votes=3); TSK Mal 1:4 (Votes=3)
Ézs 34:8	TSK ApCsel 2:20 (Votes=3)
Ézs 34:9	TSK Mal 1:3 (Votes=2)
Ézs 35:4	TSK Ézs 49:4 (Votes=5)
Ézs 35:7	TSK Mal 1:3 (Votes=2); TSK Ézs 13:22 (Votes=3)
Ézs 36:12	TSK Zsolt 80:6-7 (Votes=2)
Ézs 36:16	TSK 2Sám 8:2 (Votes=2)
Ézs 36:20	TSK Zsolt 80:6-7 (Votes=2)
Ézs 36:8	TSK Zsolt 80:6-7 (Votes=2)
Ézs 37:18	TSK Ézs 44:9 (Votes=4)
Ézs 37:20	TSK Ézs 44:9 (Votes=4)
Ézs 37:23	TSK Zsolt 80:6-7 (Votes=2)
Ézs 3:26	TSK Sir 2:8 (Votes=4)
Ézs 40:10	TSK Ézs 49:4 (Votes=3)
Ézs 40:11	TSK Ez 34:12-16 (Votes=10); TSK Ez 34:12-16 (Votes=3); TSK Ez 34:12-16 (Votes=4); TSK Ján 10:11 (Votes=36); TSK 1Móz 33:13 (Votes=5); TSK 4Móz 11:12 (Votes=6); Károli-KH (forrás-vers: Ján 10:11)
Ézs 40:15	Károli-KH (forrás-vers: Ézs 40:17)
Ézs 40:20	Károli-KH (forrás-vers: Ézs 44:9)
Ézs 40:22	TSK Jób 26:7 (Votes=12)
Ézs 40:26	TSK Jób 26:7 (Votes=8); TSK Jób 26:14 (Votes=7)
Ézs 40:29	TSK Jób 26:14 (Votes=7)
Ézs 40:8	TSK Mt 24:35 (Votes=421)
Ézs 41:23	TSK 1Sám 12:21 (Votes=2)
Ézs 41:24	TSK 1Sám 12:21 (Votes=2); TSK Ézs 41:29 (Votes=4); TSK Ézs 44:9 (Votes=6)
Ézs 42:13	TSK Jóel 3:16 (Votes=7)
Ézs 42:18	TSK Ézs 44:9 (Votes=4)
Ézs 42:5	TSK Jób 26:7 (Votes=9); TSK Ézs 45:18 (Votes=10)
Ézs 43:10	TSK Ézs 45:19 (Votes=1)
Ézs 43:8	TSK Ézs 44:9 (Votes=4)
Ézs 43:9	TSK Ézs 45:19 (Votes=1)
Ézs 44:10	TSK 1Sám 12:21 (Votes=3)
Ézs 44:18	TSK Ézs 44:9 (Votes=4)
Ézs 44:20	TSK Ézs 41:29 (Votes=2); TSK Ézs 44:9 (Votes=4)
Ézs 45:12	TSK Ézs 45:18 (Votes=10)
Ézs 45:14	TSK Ézs 66:12 (Votes=11)
Ézs 45:20	TSK 1Sám 12:21 (Votes=3); TSK Ézs 44:9 (Votes=4)
Ézs 45:23	TSK Ézs 45:19 (Votes=2)
Ézs 45:5	TSK Ézs 45:18 (Votes=4)
Ézs 45:6	TSK Ézs 45:18 (Votes=4)
Ézs 46:1	TSK Ézs 44:9 (Votes=4)
Ézs 46:2	TSK Ézs 44:9 (Votes=4)
Ézs 46:6	TSK Ézs 44:9 (Votes=4)
Ézs 46:7	TSK 1Sám 12:21 (Votes=3); TSK Ézs 44:9 (Votes=4)
Ézs 47:6-15	Károli-KH (forrás-vers: Ézs 45:18)
Ézs 47:9	TSK Jel 18:23 (Votes=2)
Ézs 48:13	TSK Ézs 40:12 (Votes=14)
Ézs 48:16	TSK Ézs 45:19 (Votes=16); Károli-KH (forrás-vers: Ézs 45:19)
Ézs 48:18	TSK Ézs 66:12 (Votes=12)
Ézs 49:15	TSK 4Móz 11:12 (Votes=2)
Ézs 49:19	TSK Jer 9:10 (Votes=2); TSK Ézs 66:12 (Votes=10)
Ézs 49:23	TSK Ézs 66:12 (Votes=10); TSK 4Móz 11:12 (Votes=6)
Ézs 49:26	TSK Ez 34:12-16 (Votes=11)
Ézs 50:10	TSK Ez 34:12-16 (Votes=2)
Ézs 50:4	Károli-KH (forrás-vers: Ézs 24:19)
Ézs 51:15	TSK Luk 21:25 (Votes=10)
Ézs 51:16	TSK Jóel 3:16 (Votes=6)
Ézs 51:5	TSK Jóel 3:16 (Votes=3)
Ézs 51:6	TSK Jóel 3:16 (Votes=3); TSK Mt 24:35 (Votes=176)
Ézs 52:7	TSK Ézs 24:23 (Votes=2)
Ézs 53:10	TSK Ézs 49:4 (Votes=3)
Ézs 53:12	TSK Ézs 49:4 (Votes=3)
Ézs 53:6	TSK Ján 10:11 (Votes=15)
Ézs 54:10	TSK Mt 24:35 (Votes=160)
Ézs 54:3	TSK Ézs 66:12 (Votes=10)
Ézs 55:11	TSK Mt 24:35 (Votes=243)
Ézs 55:6	TSK Ézs 45:19 (Votes=1)
Ézs 55:7	TSK Ézs 45:19 (Votes=1)
Ézs 58:1	TSK Ézs 45:19 (Votes=2)
Ézs 58:3	TSK Ézs 45:19 (Votes=2)
Ézs 58:4	Károli-KH (forrás-vers: Ézs 59:4)
Ézs 59:10	TSK Ámós 8:9 (Votes=6)
Ézs 59:13	TSK Ézs 59:4 (Votes=3)
Ézs 59:14	TSK Ézs 59:4 (Votes=3)
Ézs 59:16	TSK Ézs 59:4 (Votes=3)
Ézs 59:3	TSK Ézs 59:4 (Votes=3)
Ézs 59:9	TSK Ámós 8:9 (Votes=6)
Ézs 5:17	TSK Ez 34:12-16 (Votes=6)
Ézs 5:5	TSK Sir 2:8 (Votes=2)
Ézs 60:14	TSK Ézs 66:12 (Votes=6)
Ézs 60:16	TSK Ézs 66:12 (Votes=12)
Ézs 60:19	TSK Ézs 24:23 (Votes=8)
Ézs 60:19-20	Károli-KH (forrás-vers: Ézs 24:23)
Ézs 60:4	TSK Ézs 66:12 (Votes=6)
Ézs 60:4-16	Károli-KH (forrás-vers: Ézs 66:12)
Ézs 61:1	TSK Ez 34:12-16 (Votes=3)
Ézs 61:3	TSK Ez 34:12-16 (Votes=3)
Ézs 61:6	TSK Ézs 66:12 (Votes=10)
Ézs 62:11	TSK Ézs 49:4 (Votes=3)
Ézs 63:1	TSK Ézs 45:19 (Votes=2); TSK Mal 1:4 (Votes=3)
Ézs 63:6	TSK Mal 1:4 (Votes=3)
Ézs 64:5	TSK Zsolt 80:6-7 (Votes=5)
Ézs 65:10	TSK Ez 34:12-16 (Votes=38); TSK Ez 34:12-16 (Votes=2)
Ézs 65:17	TSK Zsolt 104:30 (Votes=5)
Ézs 65:2	TSK Ézs 49:4 (Votes=2)
Ézs 65:23	TSK Ézs 49:4 (Votes=3)
Ézs 65:9	TSK Ez 34:12-16 (Votes=38); TSK Ez 34:12-16 (Votes=2)
Ézs 66:11	TSK Ézs 66:12 (Votes=10)
Ézs 66:19	TSK Ézs 66:12 (Votes=7); TSK Ez 34:12-16 (Votes=21)
Ézs 66:20	TSK Ézs 66:12 (Votes=7); TSK Ez 34:12-16 (Votes=21)
Ézs 66:22	TSK Zsolt 104:30 (Votes=3)
Ézs 6:10	TSK Jób 12:24 (Votes=2)
Ézs 6:9	TSK Jób 12:24 (Votes=2)
Ézs 8:19	TSK Ézs 45:19 (Votes=3)
Ézs 8:22	TSK Ézs 5:30 (Votes=8); Károli-KH (forrás-vers: Ézs 5:30)
Ézs 9:10	TSK Mal 1:4 (Votes=3)
Ézs 9:7	TSK Ézs 66:12 (Votes=8)
Ézs 9:9	TSK Mal 1:4 (Votes=3)
