# T1.1: lekérdezés-találatok, amelyek NEM jelöltek (a nem-mag versek TSK/Károli-KH célpontjai, igealak, mező-kollokáció). Jelöltté léptetésük gate-kérdés (T1_TEREMT002_gate.md).
igehely	forras_kereses
Jer 10:2	TSK Ézs 41:29 (Votes=2)
Jer 10:24	TSK Ez 34:12-16 (Votes=5)
Jer 10:3	TSK Ézs 44:9 (Votes=4)
Jer 10:8	TSK 1Sám 12:21 (Votes=2); TSK Ézs 44:9 (Votes=4)
Jer 12:10	TSK Jer 9:10 (Votes=3)
Jer 12:4	TSK Jer 9:10 (Votes=6)
Jer 13:15	TSK Zsolt 107:40 (Votes=3)
Jer 13:16	TSK Ez 32:7 (Votes=3); TSK Jer 9:10 (Votes=2); TSK Ez 34:12-16 (Votes=2)
Jer 13:17	TSK Jer 9:10 (Votes=2)
Jer 13:18	TSK Zsolt 107:40 (Votes=3)
Jer 14:2	TSK Sir 2:8 (Votes=4)
Jer 14:22	TSK 1Sám 12:21 (Votes=4); TSK Ézs 44:9 (Votes=4)
Jer 14:6	TSK Jer 9:10 (Votes=2)
Jer 15:10	TSK Zsolt 80:6-7 (Votes=2)
Jer 15:9	TSK Ámós 8:9 (Votes=8)
Jer 16:16	Károli-KH (forrás-vers: Ézs 40:17)
Jer 16:19	TSK 1Sám 12:21 (Votes=5); TSK Ézs 44:9 (Votes=4); TSK Jóel 3:16 (Votes=7)
Jer 16:20	TSK Ézs 44:9 (Votes=4)
Jer 16:9	TSK Jel 18:23 (Votes=4); Károli-KH (forrás-vers: Jel 18:23)
Jer 18:18	TSK Ézs 29:21 (Votes=2); Károli-KH (forrás-vers: Ézs 29:21)
Jer 19:7	igealak H1238
Jer 1:4	Károli-KH (forrás-vers: Ézs 24:19)
Jer 20:10	TSK Ézs 29:21 (Votes=2)
Jer 20:7	TSK Ézs 29:21 (Votes=2)
Jer 22:14	TSK Sof 2:14 (Votes=3)
Jer 23:10	TSK Jer 9:10 (Votes=2)
Jer 23:15	TSK Jer 9:15 (Votes=3); TSK Ez 34:12-16 (Votes=2); Károli-KH (forrás-vers: Jer 9:15)
Jer 23:3	TSK Ez 34:12-16 (Votes=47)
Jer 23:4	TSK Ez 34:12-16 (Votes=47)
Jer 23:8	TSK Ez 34:12-16 (Votes=33)
Jer 25:15	TSK Jer 9:15 (Votes=2)
Jer 25:16	Károli-KH (forrás-vers: Jel 18:23)
Jer 25:18	TSK Ézs 40:23 (Votes=4)
Jer 25:27	TSK Ézs 40:23 (Votes=4)
Jer 25:30	TSK Jóel 3:16 (Votes=7); TSK Jel 18:2 (Votes=1); Károli-KH (forrás-vers: Jóel 3:16)
Jer 25:31	TSK Jóel 3:16 (Votes=7)
Jer 25:9	TSK 2Kir 21:13 (Votes=3)
Jer 26:2	TSK Ézs 29:21 (Votes=2)
Jer 26:8	TSK Ézs 29:21 (Votes=2)
Jer 29:13	TSK Ézs 45:19 (Votes=10)
Jer 29:14	TSK Ézs 45:19 (Votes=10)
Jer 2:11	TSK Ézs 44:9 (Votes=4)
Jer 2:13	TSK 1Sám 12:21 (Votes=3)
Jer 2:27	TSK Ézs 44:9 (Votes=4)
Jer 2:28	TSK Ézs 44:9 (Votes=4)
Jer 2:5	TSK 1Sám 12:21 (Votes=2)
Jer 2:6	TSK 5Móz 32:10 (Votes=6); TSK Jer 9:10 (Votes=2)
Jer 30:18	TSK Ez 34:12-16 (Votes=28)
Jer 30:3	TSK Ez 34:12-16 (Votes=42)
Jer 30:6	TSK Náh 2:10 (Votes=4)
Jer 31:10	TSK Ez 34:12-16 (Votes=4)
Jer 31:12	TSK Ez 34:12-16 (Votes=3)
Jer 31:14	TSK Ez 34:12-16 (Votes=3)
Jer 31:17	TSK Mal 1:4 (Votes=3)
Jer 31:25	TSK Ez 34:12-16 (Votes=5)
Jer 31:35	TSK Mt 24:35 (Votes=73)
Jer 31:36	TSK Mt 24:35 (Votes=73)
Jer 31:8	TSK Ez 34:12-16 (Votes=29)
Jer 32:37	TSK Ez 34:12-16 (Votes=56)
Jer 33:12	TSK Ez 34:12-16 (Votes=3)
Jer 33:13	TSK Ez 34:12-16 (Votes=3)
Jer 39:4	TSK Ézs 24:10 (Votes=2)
Jer 39:8	TSK Ézs 24:10 (Votes=2)
Jer 3:15	TSK Ez 34:12-16 (Votes=4)
Jer 48:27	TSK Zsolt 80:6-7 (Votes=2)
Jer 49:10	TSK Mal 1:3 (Votes=2)
Jer 49:16	TSK Mal 1:3 (Votes=3)
Jer 49:18	TSK Mal 1:3 (Votes=3)
Jer 4:14	TSK Zsolt 80:6-7 (Votes=4)
Jer 4:19	TSK Jer 9:10 (Votes=2)
Jer 4:25	TSK Mk 13:24 (Votes=2)
Jer 4:26	TSK Náh 2:10 (Votes=2); TSK Jel 20:11 (Votes=8); TSK Jer 9:10 (Votes=2)
Jer 4:28	TSK Mt 24:29 (Votes=5); TSK Mk 13:24 (Votes=1); TSK Ézs 5:30 (Votes=5); TSK Ézs 24:19 (Votes=3)
Jer 50:11	TSK Ez 34:12-16 (Votes=2)
Jer 50:13	TSK Ézs 13:20 (Votes=2)
Jer 50:21	TSK Ézs 13:20 (Votes=2)
Jer 50:3	TSK Ézs 13:20 (Votes=2)
