lxx_fajl	igehely_lxx	ok
exodus	Exodus 35:30	H3_EGYIK_SEM
exodus	Exodus 35:31	H3_EGYIK_SEM
exodus	Exodus 35:32	H3_EGYIK_SEM
exodus	Exodus 35:33	H3_EGYIK_SEM
exodus	Exodus 35:34	H3_EGYIK_SEM
exodus	Exodus 35:35	H3_EGYIK_SEM
exodus	Exodus 36:1	H3_EGYIK_SEM
exodus	Exodus 36:2	H3_EGYIK_SEM
exodus	Exodus 36:3	H3_EGYIK_SEM
exodus	Exodus 36:4	H3_EGYIK_SEM
exodus	Exodus 36:5	H3_EGYIK_SEM
exodus	Exodus 36:6	H3_EGYIK_SEM
exodus	Exodus 36:7	H3_EGYIK_SEM
exodus	Exodus 37:1	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
exodus	Exodus 37:2	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
exodus	Exodus 37:3	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
exodus	Exodus 37:4	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
exodus	Exodus 37:5	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
exodus	Exodus 37:6	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
exodus	Exodus 38:4	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
exodus	Exodus 38:9	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
exodus	Exodus 38:10	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
exodus	Exodus 38:15	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
exodus	Exodus 38:22	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
exodus	Exodus 38:24	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
exodus	Exodus 38:27	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
exodus	Exodus 39:15	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
hosea	Hosea 2:3	H3_EGYIK_SEM
hosea	Hosea 2:4	H3_EGYIK_SEM
hosea	Hosea 2:5	H3_EGYIK_SEM
hosea	Hosea 2:6	H3_EGYIK_SEM
hosea	Hosea 2:7	H3_EGYIK_SEM
hosea	Hosea 2:8	H3_EGYIK_SEM
hosea	Hosea 2:9	H3_EGYIK_SEM
hosea	Hosea 2:10	H3_EGYIK_SEM
hosea	Hosea 2:11	H3_EGYIK_SEM
hosea	Hosea 2:12	H3_EGYIK_SEM
hosea	Hosea 2:13	H3_EGYIK_SEM
hosea	Hosea 2:14	H3_EGYIK_SEM
hosea	Hosea 2:15	H3_EGYIK_SEM
hosea	Hosea 2:16	H3_EGYIK_SEM
hosea	Hosea 2:17	H3_EGYIK_SEM
hosea	Hosea 2:18	H3_EGYIK_SEM
hosea	Hosea 2:19	H3_EGYIK_SEM
hosea	Hosea 2:20	H3_EGYIK_SEM
hosea	Hosea 2:21	H3_EGYIK_SEM
hosea	Hosea 2:22	H3_EGYIK_SEM
hosea	Hosea 2:23	H3_EGYIK_SEM
hosea	Hosea 11:1	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
hosea	Hosea 13:1	H3_EGYIK_SEM
hosea	Hosea 13:2	H3_EGYIK_SEM
hosea	Hosea 13:3	H3_EGYIK_SEM
hosea	Hosea 13:4	H3_EGYIK_SEM
hosea	Hosea 13:5	H3_EGYIK_SEM
hosea	Hosea 13:6	H3_EGYIK_SEM
hosea	Hosea 13:7	H3_EGYIK_SEM
hosea	Hosea 13:8	H3_EGYIK_SEM
hosea	Hosea 13:9	H3_EGYIK_SEM
hosea	Hosea 13:10	H3_EGYIK_SEM
hosea	Hosea 13:11	H3_EGYIK_SEM
hosea	Hosea 13:12	H3_EGYIK_SEM
hosea	Hosea 13:13	H3_EGYIK_SEM
hosea	Hosea 13:14	H3_EGYIK_SEM
hosea	Hosea 13:15	H3_EGYIK_SEM
hosea	Hosea 14:1	H3_EGYIK_SEM
hosea	Hosea 14:2	H3_EGYIK_SEM
hosea	Hosea 14:3	H3_EGYIK_SEM
hosea	Hosea 14:4	H3_EGYIK_SEM
hosea	Hosea 14:5	H3_EGYIK_SEM
hosea	Hosea 14:6	H3_EGYIK_SEM
hosea	Hosea 14:7	H3_EGYIK_SEM
hosea	Hosea 14:8	H3_EGYIK_SEM
hosea	Hosea 14:9	H3_EGYIK_SEM
hosea	Hosea 2:24	H3_EGYIK_SEM
hosea	Hosea 2:25	H3_EGYIK_SEM
hosea	Hosea 14:10	H3_EGYIK_SEM
isaiah	Isaiah 63:19	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
isaiah	Isaiah 64:1	H3_EGYIK_SEM
isaiah	Isaiah 64:2	H3_EGYIK_SEM
isaiah	Isaiah 64:3	H3_EGYIK_SEM
isaiah	Isaiah 64:4	H3_EGYIK_SEM
isaiah	Isaiah 64:5	H3_EGYIK_SEM
isaiah	Isaiah 64:6	H3_EGYIK_SEM
isaiah	Isaiah 64:7	H3_EGYIK_SEM
isaiah	Isaiah 64:8	H3_EGYIK_SEM
isaiah	Isaiah 64:9	H3_EGYIK_SEM
isaiah	Isaiah 64:10	H3_EGYIK_SEM
isaiah	Isaiah 64:11	H3_EGYIK_SEM
isaiah	Isaiah 8:23	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
job-lxx	Job (LXX) 17:1	H3_EGYIK_SEM
job-lxx	Job (LXX) 17:2	H3_EGYIK_SEM
job-lxx	Job (LXX) 17:3	H3_EGYIK_SEM
job-lxx	Job (LXX) 17:4	H3_EGYIK_SEM
job-lxx	Job (LXX) 17:5	H3_EGYIK_SEM
job-lxx	Job (LXX) 17:6	H3_EGYIK_SEM
job-lxx	Job (LXX) 17:7	H3_EGYIK_SEM
job-lxx	Job (LXX) 17:8	H3_EGYIK_SEM
job-lxx	Job (LXX) 17:9	H3_EGYIK_SEM
job-lxx	Job (LXX) 17:10	H3_EGYIK_SEM
job-lxx	Job (LXX) 17:11	H3_EGYIK_SEM
job-lxx	Job (LXX) 17:12	H3_EGYIK_SEM
job-lxx	Job (LXX) 17:13	H3_EGYIK_SEM
job-lxx	Job (LXX) 17:14	H3_EGYIK_SEM
job-lxx	Job (LXX) 17:15	H3_EGYIK_SEM
job-lxx	Job (LXX) 17:16	H3_EGYIK_SEM
job-lxx	Job (LXX) 37:1	H3_EGYIK_SEM
job-lxx	Job (LXX) 37:2	H3_EGYIK_SEM
job-lxx	Job (LXX) 37:3	H3_EGYIK_SEM
job-lxx	Job (LXX) 37:4	H3_EGYIK_SEM
job-lxx	Job (LXX) 37:5	H3_EGYIK_SEM
job-lxx	Job (LXX) 37:6	H3_EGYIK_SEM
job-lxx	Job (LXX) 37:7	H3_EGYIK_SEM
job-lxx	Job (LXX) 37:8	H3_EGYIK_SEM
job-lxx	Job (LXX) 37:9	H3_EGYIK_SEM
job-lxx	Job (LXX) 37:10	H3_EGYIK_SEM
job-lxx	Job (LXX) 37:11	H3_EGYIK_SEM
job-lxx	Job (LXX) 37:12	H3_EGYIK_SEM
job-lxx	Job (LXX) 37:13	H3_EGYIK_SEM
job-lxx	Job (LXX) 37:14	H3_EGYIK_SEM
job-lxx	Job (LXX) 37:15	H3_EGYIK_SEM
job-lxx	Job (LXX) 37:16	H3_EGYIK_SEM
job-lxx	Job (LXX) 37:17	H3_EGYIK_SEM
job-lxx	Job (LXX) 37:18	H3_EGYIK_SEM
job-lxx	Job (LXX) 37:19	H3_EGYIK_SEM
job-lxx	Job (LXX) 37:20	H3_EGYIK_SEM
job-lxx	Job (LXX) 37:21	H3_EGYIK_SEM
job-lxx	Job (LXX) 37:22	H3_EGYIK_SEM
job-lxx	Job (LXX) 37:23	H3_EGYIK_SEM
job-lxx	Job (LXX) 37:24	H3_EGYIK_SEM
jonah	Jonah 1:1	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
numbers	Numbers 29:1	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
proverbs	Proverbs 12:1	H3_EGYIK_SEM
proverbs	Proverbs 12:2	H3_EGYIK_SEM
proverbs	Proverbs 12:3	H3_EGYIK_SEM
proverbs	Proverbs 12:4	H3_EGYIK_SEM
proverbs	Proverbs 12:5	H3_EGYIK_SEM
proverbs	Proverbs 12:6	H3_EGYIK_SEM
proverbs	Proverbs 12:7	H3_EGYIK_SEM
proverbs	Proverbs 12:8	H3_EGYIK_SEM
proverbs	Proverbs 12:9	H3_EGYIK_SEM
proverbs	Proverbs 12:10	H3_EGYIK_SEM
proverbs	Proverbs 12:11	H3_EGYIK_SEM
proverbs	Proverbs 12:12	H3_EGYIK_SEM
proverbs	Proverbs 12:13	H3_EGYIK_SEM
proverbs	Proverbs 12:14	H3_EGYIK_SEM
proverbs	Proverbs 12:15	H3_EGYIK_SEM
proverbs	Proverbs 12:16	H3_EGYIK_SEM
proverbs	Proverbs 12:17	H3_EGYIK_SEM
proverbs	Proverbs 12:18	H3_EGYIK_SEM
proverbs	Proverbs 12:19	H3_EGYIK_SEM
proverbs	Proverbs 12:20	H3_EGYIK_SEM
proverbs	Proverbs 12:21	H3_EGYIK_SEM
proverbs	Proverbs 12:22	H3_EGYIK_SEM
proverbs	Proverbs 12:23	H3_EGYIK_SEM
proverbs	Proverbs 12:24	H3_EGYIK_SEM
proverbs	Proverbs 12:25	H3_EGYIK_SEM
proverbs	Proverbs 12:26	H3_EGYIK_SEM
proverbs	Proverbs 12:27	H3_EGYIK_SEM
proverbs	Proverbs 12:28	H3_EGYIK_SEM
psalms-lxx	Psalms (LXX) 3:1	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
psalms-lxx	Psalms (LXX) 4:1	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
psalms-lxx	Psalms (LXX) 5:1	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
psalms-lxx	Psalms (LXX) 6:1	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
psalms-lxx	Psalms (LXX) 7:1	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
psalms-lxx	Psalms (LXX) 8:1	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
psalms-lxx	Psalms (LXX) 9:1	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
psalms-lxx	Psalms (LXX) 11:1	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
psalms-lxx	Psalms (LXX) 12:6	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
psalms-lxx	Psalms (LXX) 17:1	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
psalms-lxx	Psalms (LXX) 18:1	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
psalms-lxx	Psalms (LXX) 19:1	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
psalms-lxx	Psalms (LXX) 20:1	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
psalms-lxx	Psalms (LXX) 21:1	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
psalms-lxx	Psalms (LXX) 29:1	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
psalms-lxx	Psalms (LXX) 30:1	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
psalms-lxx	Psalms (LXX) 33:1	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
psalms-lxx	Psalms (LXX) 35:1	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
psalms-lxx	Psalms (LXX) 37:1	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
psalms-lxx	Psalms (LXX) 38:1	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
psalms-lxx	Psalms (LXX) 39:1	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
psalms-lxx	Psalms (LXX) 40:1	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
psalms-lxx	Psalms (LXX) 41:1	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
psalms-lxx	Psalms (LXX) 43:1	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
psalms-lxx	Psalms (LXX) 44:1	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
psalms-lxx	Psalms (LXX) 45:1	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
psalms-lxx	Psalms (LXX) 46:1	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
psalms-lxx	Psalms (LXX) 47:1	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
psalms-lxx	Psalms (LXX) 48:1	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
psalms-lxx	Psalms (LXX) 50:1	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
psalms-lxx	Psalms (LXX) 50:2	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
psalms-lxx	Psalms (LXX) 51:1	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
psalms-lxx	Psalms (LXX) 51:2	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
psalms-lxx	Psalms (LXX) 52:1	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
psalms-lxx	Psalms (LXX) 53:1	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
psalms-lxx	Psalms (LXX) 53:2	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
psalms-lxx	Psalms (LXX) 54:1	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
psalms-lxx	Psalms (LXX) 55:1	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
psalms-lxx	Psalms (LXX) 56:1	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
psalms-lxx	Psalms (LXX) 57:1	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
psalms-lxx	Psalms (LXX) 58:1	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
psalms-lxx	Psalms (LXX) 59:1	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
psalms-lxx	Psalms (LXX) 59:2	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
psalms-lxx	Psalms (LXX) 60:1	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
psalms-lxx	Psalms (LXX) 61:1	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
psalms-lxx	Psalms (LXX) 62:1	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
psalms-lxx	Psalms (LXX) 63:1	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
psalms-lxx	Psalms (LXX) 64:1	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
psalms-lxx	Psalms (LXX) 66:1	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
psalms-lxx	Psalms (LXX) 67:1	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
psalms-lxx	Psalms (LXX) 68:1	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
psalms-lxx	Psalms (LXX) 69:1	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
psalms-lxx	Psalms (LXX) 74:1	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
psalms-lxx	Psalms (LXX) 75:1	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
psalms-lxx	Psalms (LXX) 76:1	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
psalms-lxx	Psalms (LXX) 79:1	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
psalms-lxx	Psalms (LXX) 80:1	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
psalms-lxx	Psalms (LXX) 82:1	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
psalms-lxx	Psalms (LXX) 83:1	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
psalms-lxx	Psalms (LXX) 84:1	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
psalms-lxx	Psalms (LXX) 87:1	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
psalms-lxx	Psalms (LXX) 88:1	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
psalms-lxx	Psalms (LXX) 91:1	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
psalms-lxx	Psalms (LXX) 101:1	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
psalms-lxx	Psalms (LXX) 107:1	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
psalms-lxx	Psalms (LXX) 139:1	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
psalms-lxx	Psalms (LXX) 141:1	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
song-of-solomon	Song of Solomon 5:1	H3_EGYIK_SEM
song-of-solomon	Song of Solomon 5:2	H3_EGYIK_SEM
song-of-solomon	Song of Solomon 5:3	H3_EGYIK_SEM
song-of-solomon	Song of Solomon 5:4	H3_EGYIK_SEM
song-of-solomon	Song of Solomon 5:5	H3_EGYIK_SEM
song-of-solomon	Song of Solomon 5:6	H3_EGYIK_SEM
song-of-solomon	Song of Solomon 5:7	H3_EGYIK_SEM
song-of-solomon	Song of Solomon 5:8	H3_EGYIK_SEM
song-of-solomon	Song of Solomon 5:9	H3_EGYIK_SEM
song-of-solomon	Song of Solomon 5:10	H3_EGYIK_SEM
song-of-solomon	Song of Solomon 5:11	H3_EGYIK_SEM
song-of-solomon	Song of Solomon 5:12	H3_EGYIK_SEM
song-of-solomon	Song of Solomon 5:13	H3_EGYIK_SEM
song-of-solomon	Song of Solomon 5:14	H3_EGYIK_SEM
song-of-solomon	Song of Solomon 5:15	H3_EGYIK_SEM
song-of-solomon	Song of Solomon 5:16	H3_EGYIK_SEM
song-of-solomon	Song of Solomon 6:1	H3_EGYIK_SEM
song-of-solomon	Song of Solomon 6:2	H3_EGYIK_SEM
song-of-solomon	Song of Solomon 6:3	H3_EGYIK_SEM
song-of-solomon	Song of Solomon 6:4	H3_EGYIK_SEM
song-of-solomon	Song of Solomon 6:5	H3_EGYIK_SEM
song-of-solomon	Song of Solomon 6:6	H3_EGYIK_SEM
song-of-solomon	Song of Solomon 6:7	H3_EGYIK_SEM
song-of-solomon	Song of Solomon 6:8	H3_EGYIK_SEM
song-of-solomon	Song of Solomon 6:9	H3_EGYIK_SEM
song-of-solomon	Song of Solomon 6:10	H3_EGYIK_SEM
song-of-solomon	Song of Solomon 6:11	H3_EGYIK_SEM
song-of-solomon	Song of Solomon 6:12	H3_EGYIK_SEM
song-of-solomon	Song of Solomon 7:1	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
