sorszam	level	oldal	bbox	hocr_sor	gepi_jelzesek	itelet
95	347	335	364,755,1994,800	σατο διὰ τοῦ αἵματος τοῦ ἰδίου (cf. Ex. xv. 16); σῶμα Χριστοῦ, Col. i. 18, 24; Eph. i.	(csak görög, jelzés nélkül)	
96	347	335	365,812,1995,856	22, 23; cf. iii. 21, ἡ ἐκκλ. ἐν Χριστῷ "Inood; v. 23,24. In the Epistle to the Ephesians,	(csak görög, jelzés nélkül)	
97	347	335	363,922,1637,969	29, 32.—Heb. xii. 23, ἐκκὰ. πρωτοτόκων ἀπογεγραμμένων ἐν οὐρανοῖς.	c5_nem_igazolt	
98	347	335	435,978,1994,1024	(1) The Ν. Τ΄ churches as confined to particular places, cf. ἡ κατ᾽ οἷκόν τινος ἐκκλησία,	c5_nem_igazolt	
99	347	335	359,1036,1991,1078	Rom. xvi. 5; 1 Cor. xvi. 19; Col. iv. 15; Philem. 2; ἡ exer. ἡ οὖσα ἐν κιτιλ., 1 Cor.	c5_nem_igazolt	
100	347	335	358,1091,1994,1138	1. 2; 2 Cor.i 1; 1 Thess. ii 14; cf. Acts xiii. 1, ἦσαν ἐν ᾿Αντιοχείᾳ κατὰ τὴν οὖσαν	c5_nem_igazolt	
101	347	335	359,1147,1993,1194	ἐκκλησίαν, as it then was, ¢g., in the assemblies, 1 Cor. xi. 18, συνερχομένων ὑμῶν ἐν	(csak görög, jelzés nélkül)	
102	347	335	360,1203,1991,1247	ἐκκλησίᾳ; xiv. 19, 28,35; Acts xiv. 27; Rev. ii 1, 8, 12, 18, iii, 1, 7, 14; therefore	(csak görög, jelzés nélkül)	
103	347	335	359,1259,1991,1301	of a single church, ἡ ἐκκλ. ἡ ἐν κιτίλ,, Acts viii. 1, xi. 22; Rom. xvi. 1; ἡ ἐκκὰλ.	c5_nem_igazolt	
104	347	335	361,1313,1992,1358	Θεσσαλονικέων, 1 Thess. i. 1; 2 Thess. i 1, cf. Col. iv. 16; Phil. iv. 15, οὐδεμία	(csak görög, jelzés nélkül)	
105	347	335	359,1369,1992,1416	ἐκκλησία; 1 Cor. iv. 17, πανταχοῦ ἐν πάσῃ ἐκκλ., every church in which the character	(csak görög, jelzés nélkül)	
106	347	335	358,1425,1991,1469	of the church as a whole is repeated, cf. τοῦ θεοῦ, 1 Cor. 1. 2, xi. 16; 2 Cori 1;	latin_torzkep	
107	347	335	354,1761,1990,1805	xxii. 16. With reference to the elements constituting them, they are termed ἐκκλησίαι	(csak görög, jelzés nélkül)	
108	347	335	355,1815,1288,1859	τῶν ἐθνῶν, Rom. xvi. 4; τῶν ἁγίων, 1 Cor. xiv. 33.	(csak görög, jelzés nélkül)	
109	347	335	428,2038,1987,2085	Ἔπικαλέω, to call to, to call upon (not to call hither, for ἐπί relates to the object	c5_nem_igazolt	
110	347	335	354,2202,1986,2248	tage, μάρτυρά τινα, to appeal to any one as witness ; θεοὺς ἐπικαλεῖσθε, ct al. This is the	c5_nem_igazolt	
111	347	335	354,2316,1985,2361	xxv. 11, 12, xxvi. 32, xxviii 19, Καίσαρα ἐπικαλεῖσθαι, to invoke Caesar for oneself, to	latin_torzkep	
112	347	335	353,2372,1985,2414	appeal to him, Acts xxv. 25. Without this object=to appeal, Acts xxv. 21, τοῦ δὲ	(csak görög, jelzés nélkül)	
113	347	335	353,2424,1985,2471	Παύλου ἐπικαλεσαμένου κ.τ.λ.----2 Cor. i. 23, μάρτυρα τὸν θεὸν ἐπικαλοῦμαι ἐπὶ τὴν ἐμὴν	(csak görög, jelzés nélkül)	
114	347	335	352,2475,1986,2532	ψυχήν, I call God to witness for me-—Specially τὸ ὄνομα τοῦ θεοῦ κ.τ᾿Δ. τ-Ξ ΠΥ Ὁ NIP, of	c5_nem_igazolt	
115	347	335	353,2536,1983,2582	the invocation of God or Christ; τὸ dv. τοῦ @., Acts ix. 14, 21, xxii. 16 (Symmachus,	latin_torzkep	
116	347	335	354,2590,1984,2637	Ps. Ixy. 17, τῷ ὀνόμ.); τοῦ κυρίου, Rom. x. 13; 1 Cor. 1. 2; 2 Tim. ii. 22, ἐπικ. τὸν	(csak görög, jelzés nélkül)	
117	347	335	354,2643,1982,2693	κύριον ἐκ καθαρᾶς καρδίας; Rom. x.12. Without mention of object, Rom. x. 14, πῶς	(csak görög, jelzés nélkül)	
118	625	610	611,370,1616,437	Φιλάδελφος 610 "A8ns	c5_nem_igazolt	
